---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
1575 	 | 	fb6 	 | 	0
1623 	 | 	fb4 	 | 	0
2407 	 | 	fb3 	 | 	0
2573 	 | 	fb6 	 | 	1
2909 	 | 	fb2 	 | 	0
3900 	 | 	fb5 	 | 	0
4099 	 | 	fb4 	 | 	1
4503 	 | 	fb6 	 | 	0
4618 	 | 	fb3 	 | 	1
4867 	 | 	fb1 	 | 	0
5051 	 | 	fb7 	 | 	0
5958 	 | 	fb4 	 | 	0
6454 	 | 	fb1 	 | 	1
6648 	 | 	fb7 	 | 	1
6922 	 | 	fb8 	 | 	0
8026 	 | 	fb5 	 | 	1
8294 	 | 	fb7 	 | 	0
8539 	 | 	fb8 	 | 	1
8785 	 | 	fb4 	 | 	1
9124 	 | 	fb3 	 | 	0
9733 	 | 	fb5 	 | 	0
9914 	 | 	fb7 	 | 	1
10201 	 | 	fb8 	 | 	0
10536 	 | 	fb4 	 | 	0
10920 	 | 	fb3 	 | 	1
11640 	 | 	fb7 	 | 	0
11744 	 | 	fb1 	 | 	0
12195 	 | 	fb4 	 | 	1
12594 	 | 	fb2 	 | 	1
13376 	 | 	fb7 	 | 	1
13402 	 | 	fb1 	 | 	1
13637 	 | 	fb3 	 | 	0
13974 	 | 	fb4 	 | 	0
14142 	 | 	fb8 	 | 	1
14418 	 | 	fb2 	 | 	0
14435 	 | 	fb6 	 | 	1
14584 	 | 	fb5 	 | 	1
14987 	 | 	fb1 	 | 	0
15343 	 | 	fb3 	 | 	1
15577 	 | 	fb4 	 | 	1
16007 	 | 	fb2 	 | 	1
16592 	 | 	fb1 	 | 	1
17136 	 | 	fb4 	 | 	0
17141 	 | 	fb6 	 | 	0
17912 	 | 	fb8 	 | 	0
18039 	 | 	fb6 	 | 	1
18077 	 | 	fb4 	 | 	1
18221 	 | 	fb1 	 | 	0
18461 	 | 	fb5 	 | 	0
18805 	 | 	fb3 	 | 	0
19642 	 | 	fb4 	 | 	0
19734 	 | 	fb3 	 | 	1
