---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
1494 	 | 	fb7 	 | 	0
1731 	 | 	fb4 	 | 	0
2898 	 | 	fb3 	 | 	0
3423 	 | 	fb5 	 | 	0
4082 	 | 	fb6 	 | 	0
6371 	 | 	fb1 	 | 	0
6883 	 | 	fb7 	 | 	1
7027 	 | 	fb3 	 | 	1
8530 	 | 	fb2 	 | 	0
8543 	 | 	fb6 	 | 	1
8847 	 | 	fb7 	 | 	0
8942 	 | 	fb4 	 | 	1
9156 	 | 	fb8 	 | 	0
9917 	 | 	fb3 	 | 	0
10147 	 | 	fb2 	 | 	1
10821 	 | 	fb8 	 | 	1
10910 	 | 	fb4 	 | 	0
11733 	 | 	fb5 	 | 	1
11787 	 | 	fb7 	 | 	1
12153 	 | 	fb1 	 | 	1
12849 	 | 	fb8 	 | 	0
13331 	 | 	fb7 	 | 	0
13733 	 | 	fb5 	 | 	0
14217 	 | 	fb2 	 | 	0
14657 	 | 	fb6 	 | 	0
15016 	 | 	fb1 	 | 	0
16480 	 | 	fb6 	 | 	1
16749 	 | 	fb5 	 | 	1
16874 	 | 	fb3 	 | 	1
19766 	 | 	fb8 	 | 	1
