---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
803 	 | 	fb2 	 | 	0
970 	 | 	fb18 	 | 	0
1435 	 | 	fb4 	 | 	0
1551 	 | 	fb14 	 | 	0
1665 	 | 	fb15 	 | 	0
1678 	 | 	fb17 	 | 	0
1698 	 | 	fb10 	 | 	0
1756 	 | 	fb1 	 | 	0
1778 	 | 	fb24 	 | 	0
2451 	 | 	fb12 	 | 	0
2610 	 | 	fb17 	 | 	1
2734 	 | 	fb15 	 | 	1
3574 	 | 	fb10 	 | 	1
3998 	 | 	fb6 	 | 	0
4135 	 | 	fb11 	 | 	0
4168 	 | 	fb19 	 | 	0
4221 	 | 	fb17 	 | 	0
4571 	 | 	fb12 	 | 	1
4922 	 | 	fb3 	 | 	0
5104 	 | 	fb15 	 | 	0
5114 	 | 	fb10 	 | 	0
5173 	 | 	fb11 	 | 	1
5241 	 | 	fb21 	 | 	0
5381 	 | 	fb6 	 | 	1
5673 	 | 	fb24 	 | 	1
5838 	 | 	fb8 	 | 	0
6209 	 | 	fb16 	 | 	0
6451 	 | 	fb3 	 | 	1
6643 	 | 	fb13 	 | 	0
6826 	 | 	fb15 	 | 	1
6976 	 | 	fb23 	 | 	0
7097 	 | 	fb11 	 | 	0
7118 	 | 	fb24 	 | 	0
7388 	 | 	fb20 	 | 	0
7893 	 | 	fb16 	 | 	1
8093 	 | 	fb4 	 | 	1
8432 	 | 	fb2 	 | 	1
8591 	 | 	fb17 	 | 	1
8601 	 | 	fb19 	 | 	1
8634 	 | 	fb5 	 | 	0
8700 	 | 	fb15 	 | 	0
8771 	 | 	fb20 	 | 	1
8841 	 | 	fb7 	 | 	0
9138 	 | 	fb16 	 | 	0
9220 	 | 	fb1 	 | 	1
9413 	 | 	fb10 	 | 	1
9595 	 | 	fb9 	 | 	0
9637 	 | 	fb12 	 | 	0
9979 	 | 	fb15 	 | 	1
10087 	 | 	fb7 	 | 	1
10148 	 | 	fb2 	 | 	0
10622 	 | 	fb6 	 | 	0
10693 	 | 	fb4 	 | 	0
10857 	 | 	fb16 	 | 	1
10918 	 | 	fb21 	 | 	1
10956 	 | 	fb24 	 | 	1
11061 	 | 	fb9 	 | 	1
