---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
1294 	 | 	fb11 	 | 	0
1718 	 | 	fb22 	 | 	0
1775 	 | 	fb20 	 | 	0
2021 	 | 	fb2 	 | 	0
2471 	 | 	fb11 	 | 	1
2945 	 | 	fb22 	 | 	1
3164 	 | 	fb14 	 | 	0
3335 	 | 	fb1 	 | 	0
3351 	 | 	fb15 	 | 	0
3746 	 | 	fb5 	 | 	0
3773 	 | 	fb22 	 | 	0
4068 	 | 	fb20 	 | 	1
4931 	 | 	fb5 	 | 	1
5005 	 | 	fb1 	 | 	1
5553 	 | 	fb2 	 | 	1
5904 	 | 	fb12 	 | 	0
6007 	 | 	fb5 	 | 	0
6059 	 | 	fb10 	 | 	0
6378 	 | 	fb20 	 | 	0
7371 	 | 	fb20 	 | 	1
7580 	 | 	fb1 	 | 	0
7676 	 | 	fb19 	 | 	0
7821 	 | 	fb5 	 | 	1
8574 	 | 	fb2 	 | 	0
8650 	 | 	fb11 	 | 	0
8732 	 | 	fb1 	 | 	1
8747 	 | 	fb5 	 | 	0
8976 	 | 	fb19 	 | 	1
9466 	 | 	fb20 	 | 	0
9537 	 | 	fb18 	 | 	0
9784 	 | 	fb17 	 | 	0
9897 	 | 	fb23 	 | 	0
10056 	 | 	fb11 	 | 	1
10073 	 | 	fb19 	 | 	0
10175 	 | 	fb5 	 | 	1
10187 	 | 	fb15 	 | 	1
10273 	 | 	fb1 	 | 	0
10296 	 | 	fb2 	 | 	1
10420 	 | 	fb13 	 | 	0
10597 	 | 	fb23 	 | 	1
10609 	 | 	fb18 	 | 	1
10975 	 | 	fb22 	 | 	1
10981 	 | 	fb8 	 | 	0
10992 	 | 	fb11 	 | 	0
11007 	 | 	fb14 	 | 	1
11292 	 | 	fb19 	 | 	1
11878 	 | 	fb2 	 | 	0
12106 	 | 	fb11 	 | 	1
12167 	 | 	fb18 	 | 	0
12239 	 | 	fb6 	 | 	0
12340 	 | 	fb1 	 | 	1
12570 	 | 	fb19 	 | 	0
12671 	 | 	fb12 	 | 	1
12967 	 | 	fb2 	 | 	1
12976 	 | 	fb23 	 | 	0
12983 	 | 	fb16 	 | 	0
13170 	 | 	fb5 	 | 	0
13363 	 | 	fb19 	 | 	1
13397 	 | 	fb8 	 | 	1
13436 	 | 	fb21 	 | 	0
13530 	 | 	fb4 	 | 	0
13867 	 | 	fb20 	 | 	1
13893 	 | 	fb15 	 | 	0
14440 	 | 	fb19 	 | 	0
14499 	 | 	fb18 	 | 	1
14875 	 | 	fb5 	 | 	1
14957 	 | 	fb14 	 | 	0
15088 	 | 	fb20 	 | 	0
15121 	 | 	fb21 	 | 	1
15503 	 | 	fb16 	 | 	1
15507 	 | 	fb8 	 | 	0
16045 	 | 	fb23 	 | 	1
16234 	 | 	fb22 	 | 	0
16342 	 | 	fb5 	 | 	0
16579 	 | 	fb18 	 | 	0
16598 	 | 	fb14 	 | 	1
16667 	 | 	fb20 	 | 	1
16983 	 | 	fb13 	 | 	1
16997 	 | 	fb16 	 | 	0
17047 	 | 	fb19 	 | 	1
17500 	 | 	fb21 	 | 	0
17591 	 | 	fb12 	 | 	0
17600 	 | 	fb2 	 | 	0
17741 	 | 	fb24 	 | 	0
17828 	 | 	fb6 	 | 	1
18100 	 | 	fb5 	 | 	1
18131 	 | 	fb14 	 | 	0
18132 	 | 	fb22 	 | 	1
18202 	 | 	fb18 	 | 	1
18244 	 | 	fb23 	 | 	0
18894 	 | 	fb1 	 | 	0
19247 	 | 	fb23 	 | 	1
19269 	 | 	fb16 	 | 	1
19293 	 | 	fb20 	 | 	0
19538 	 | 	fb5 	 | 	0
19564 	 | 	fb22 	 | 	0
19590 	 | 	fb9 	 | 	0
19718 	 | 	fb1 	 | 	1
19838 	 | 	fb13 	 | 	0
19917 	 | 	fb8 	 | 	1
19990 	 | 	fb21 	 | 	1
