---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	0
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	0
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	0
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	0
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	0
0 	 | 	fb18 	 | 	0
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	0
0 	 | 	fb22 	 | 	0
0 	 | 	fb22 	 | 	0
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
370 	 | 	fb10 	 | 	0
502 	 | 	fb16 	 | 	0
721 	 | 	fb19 	 | 	0
730 	 | 	fb2 	 | 	0
819 	 | 	fb1 	 | 	1
924 	 | 	fb23 	 | 	0
956 	 | 	fb8 	 | 	0
1325 	 | 	fb21 	 | 	1
1920 	 | 	fb24 	 | 	0
1945 	 | 	fb14 	 | 	1
2031 	 | 	fb10 	 | 	1
2140 	 | 	fb11 	 | 	0
2163 	 | 	fb22 	 | 	1
2405 	 | 	fb18 	 | 	1
2748 	 | 	fb24 	 | 	1
3044 	 | 	fb13 	 | 	0
3070 	 | 	fb22 	 | 	0
3240 	 | 	fb21 	 | 	0
3305 	 | 	fb6 	 | 	0
3325 	 | 	fb18 	 | 	0
3573 	 | 	fb11 	 | 	1
3740 	 | 	fb10 	 | 	0
4101 	 | 	fb21 	 | 	1
4244 	 | 	fb2 	 | 	1
4251 	 | 	fb24 	 | 	0
4267 	 | 	fb17 	 | 	1
4600 	 | 	fb22 	 | 	1
4791 	 | 	fb19 	 | 	1
4929 	 | 	fb23 	 | 	1
4948 	 | 	fb9 	 | 	0
4968 	 | 	fb15 	 | 	0
5223 	 | 	fb18 	 | 	1
5405 	 | 	fb20 	 | 	0
5485 	 | 	fb22 	 | 	0
5641 	 | 	fb7 	 | 	0
5756 	 | 	fb11 	 | 	0
5799 	 | 	fb24 	 | 	1
5905 	 | 	fb19 	 | 	0
5915 	 | 	fb8 	 | 	1
5945 	 | 	fb10 	 | 	1
6047 	 | 	fb2 	 | 	0
6486 	 | 	fb21 	 | 	0
6662 	 | 	fb5 	 | 	1
6730 	 | 	fb10 	 | 	0
6737 	 | 	fb11 	 | 	1
6870 	 | 	fb18 	 | 	0
6983 	 | 	fb14 	 | 	0
7133 	 | 	fb23 	 | 	0
7163 	 | 	fb3 	 | 	1
7175 	 | 	fb20 	 | 	1
7324 	 | 	fb13 	 | 	1
7355 	 | 	fb16 	 | 	1
7524 	 | 	fb5 	 | 	0
7714 	 | 	fb2 	 | 	1
7811 	 | 	fb7 	 | 	1
7821 	 | 	fb19 	 | 	1
7826 	 | 	fb24 	 | 	0
7857 	 | 	fb6 	 | 	1
7954 	 | 	fb3 	 | 	0
8368 	 | 	fb18 	 | 	1
8486 	 | 	fb16 	 | 	0
8512 	 | 	fb10 	 | 	1
8769 	 | 	fb23 	 | 	1
8888 	 | 	fb20 	 | 	0
9037 	 | 	fb5 	 | 	1
9150 	 | 	fb11 	 | 	0
9159 	 | 	fb21 	 | 	1
9197 	 | 	fb22 	 | 	1
9273 	 | 	fb2 	 | 	0
9434 	 | 	fb7 	 | 	0
9804 	 | 	fb12 	 | 	0
