---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
1588 	 | 	fb7 	 | 	0
1647 	 | 	fb16 	 | 	0
1684 	 | 	fb8 	 | 	0
1756 	 | 	fb9 	 | 	0
1844 	 | 	fb5 	 | 	0
2352 	 | 	fb12 	 | 	0
2586 	 | 	fb13 	 | 	0
2939 	 | 	fb10 	 | 	0
3027 	 | 	fb20 	 | 	0
3561 	 | 	fb5 	 | 	1
3980 	 | 	fb11 	 | 	0
4180 	 | 	fb16 	 | 	1
4226 	 | 	fb2 	 | 	0
4591 	 | 	fb22 	 | 	0
4861 	 | 	fb24 	 | 	0
5541 	 | 	fb7 	 | 	1
5895 	 | 	fb3 	 | 	0
6274 	 | 	fb9 	 | 	1
6532 	 | 	fb24 	 | 	1
7753 	 | 	fb3 	 | 	1
7829 	 | 	fb16 	 | 	0
7891 	 | 	fb18 	 | 	0
8059 	 | 	fb17 	 | 	0
8246 	 | 	fb5 	 | 	0
8573 	 | 	fb14 	 | 	0
8911 	 | 	fb8 	 | 	1
9053 	 | 	fb2 	 | 	1
9777 	 | 	fb13 	 | 	1
9875 	 | 	fb1 	 | 	0
9892 	 | 	fb6 	 | 	0
9975 	 | 	fb7 	 | 	0
10145 	 | 	fb18 	 | 	1
10222 	 | 	fb5 	 | 	1
10236 	 | 	fb14 	 | 	1
10334 	 | 	fb16 	 | 	1
10784 	 | 	fb2 	 | 	0
10829 	 | 	fb10 	 | 	1
10834 	 | 	fb15 	 | 	0
10923 	 | 	fb9 	 | 	0
11030 	 | 	fb22 	 | 	1
11092 	 | 	fb8 	 | 	0
11324 	 | 	fb4 	 | 	0
11818 	 | 	fb12 	 | 	1
11887 	 | 	fb7 	 | 	1
12280 	 | 	fb23 	 | 	0
12447 	 | 	fb10 	 | 	0
12754 	 | 	fb9 	 | 	1
13845 	 | 	fb6 	 | 	1
13928 	 | 	fb17 	 | 	1
14547 	 | 	fb24 	 | 	0
14719 	 | 	fb3 	 | 	0
14865 	 | 	fb9 	 | 	0
15459 	 | 	fb5 	 | 	0
15481 	 | 	fb18 	 | 	0
15640 	 | 	fb13 	 | 	0
15644 	 | 	fb14 	 | 	0
15691 	 | 	fb4 	 | 	1
15811 	 | 	fb22 	 | 	0
15847 	 | 	fb1 	 | 	1
16335 	 | 	fb6 	 | 	0
16674 	 | 	fb10 	 | 	1
17159 	 | 	fb17 	 | 	0
17597 	 | 	fb3 	 | 	1
17883 	 | 	fb5 	 | 	1
18128 	 | 	fb11 	 | 	1
18209 	 | 	fb7 	 | 	0
19323 	 | 	fb9 	 | 	1
19639 	 | 	fb18 	 | 	1
19731 	 | 	fb6 	 | 	1
