---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
1677 	 | 	fb1 	 | 	0
2591 	 | 	fb8 	 | 	0
3006 	 | 	fb2 	 | 	0
3961 	 | 	fb5 	 | 	0
3992 	 | 	fb6 	 | 	0
4565 	 | 	fb3 	 | 	0
5081 	 | 	fb1 	 | 	1
5129 	 | 	fb7 	 | 	0
5617 	 | 	fb4 	 | 	0
7257 	 | 	fb2 	 | 	1
9027 	 | 	fb2 	 | 	0
10525 	 | 	fb2 	 | 	1
10807 	 | 	fb6 	 | 	1
10881 	 | 	fb3 	 | 	1
12631 	 | 	fb5 	 | 	1
14338 	 | 	fb5 	 | 	0
14466 	 | 	fb7 	 | 	1
14649 	 | 	fb6 	 | 	0
16228 	 | 	fb4 	 | 	1
17915 	 | 	fb6 	 | 	1
17960 	 | 	fb7 	 | 	0
18055 	 | 	fb2 	 | 	0
18373 	 | 	fb1 	 | 	0
19771 	 | 	fb4 	 | 	0
19797 	 | 	fb5 	 | 	1
19997 	 | 	fb7 	 | 	1
