---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
2429 	 | 	fb8 	 | 	0
2554 	 | 	fb18 	 | 	0
4044 	 | 	fb21 	 | 	0
4882 	 | 	fb12 	 | 	0
6132 	 | 	fb8 	 | 	1
6159 	 | 	fb9 	 | 	0
7583 	 | 	fb6 	 | 	0
9235 	 | 	fb4 	 | 	0
12480 	 | 	fb24 	 | 	0
13467 	 | 	fb1 	 | 	0
13534 	 | 	fb19 	 | 	0
13705 	 | 	fb16 	 | 	0
14095 	 | 	fb14 	 | 	0
14373 	 | 	fb10 	 | 	0
14464 	 | 	fb12 	 | 	1
14968 	 | 	fb13 	 | 	0
15238 	 | 	fb20 	 | 	0
15628 	 | 	fb7 	 | 	0
15888 	 | 	fb2 	 | 	0
17029 	 | 	fb4 	 | 	1
17468 	 | 	fb20 	 | 	1
17612 	 | 	fb23 	 | 	0
17864 	 | 	fb19 	 | 	1
