---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	0
0 	 | 	fb2 	 | 	0
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	0
0 	 | 	fb7 	 | 	0
0 	 | 	fb8 	 | 	0
0 	 | 	fb9 	 | 	0
0 	 | 	fb10 	 | 	0
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	0
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	0
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	0
0 	 | 	fb19 	 | 	0
0 	 | 	fb20 	 | 	0
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	0
2 	 | 	fb10 	 | 	1
2 	 | 	fb23 	 | 	0
274 	 | 	fb5 	 | 	0
511 	 | 	fb18 	 | 	1
572 	 | 	fb13 	 | 	0
577 	 | 	fb22 	 | 	0
615 	 | 	fb14 	 | 	1
634 	 | 	fb12 	 | 	1
675 	 | 	fb15 	 | 	0
1058 	 | 	fb4 	 | 	0
1569 	 | 	fb16 	 | 	0
2052 	 | 	fb3 	 | 	0
2248 	 | 	fb2 	 | 	1
2380 	 | 	fb14 	 | 	0
2398 	 | 	fb1 	 | 	1
2674 	 | 	fb12 	 | 	0
2846 	 | 	fb20 	 | 	0
3434 	 | 	fb18 	 | 	0
3439 	 | 	fb6 	 | 	1
3784 	 | 	fb4 	 | 	1
4023 	 | 	fb23 	 | 	1
4046 	 | 	fb1 	 | 	0
4104 	 | 	fb9 	 | 	1
4390 	 | 	fb14 	 | 	1
4398 	 | 	fb15 	 | 	1
4474 	 | 	fb2 	 | 	0
4518 	 | 	fb24 	 | 	1
4793 	 | 	fb17 	 | 	0
5080 	 | 	fb6 	 | 	0
5253 	 | 	fb19 	 | 	1
5378 	 | 	fb8 	 | 	1
5828 	 | 	fb11 	 | 	0
5967 	 | 	fb24 	 | 	0
5976 	 | 	fb3 	 | 	1
7158 	 | 	fb2 	 | 	1
7209 	 | 	fb14 	 | 	0
7309 	 | 	fb15 	 | 	0
7840 	 | 	fb12 	 | 	1
8087 	 | 	fb18 	 | 	1
8136 	 | 	fb9 	 | 	0
8389 	 | 	fb10 	 | 	0
8822 	 | 	fb22 	 | 	1
8823 	 | 	fb2 	 | 	0
9031 	 | 	fb19 	 | 	0
9467 	 | 	fb5 	 | 	1
9656 	 | 	fb23 	 | 	0
9828 	 | 	fb1 	 | 	1
10228 	 | 	fb3 	 | 	0
10304 	 | 	fb21 	 | 	0
10398 	 | 	fb11 	 | 	1
10646 	 | 	fb4 	 | 	0
10763 	 | 	fb10 	 | 	1
10850 	 | 	fb12 	 | 	0
10882 	 | 	fb19 	 | 	1
10887 	 | 	fb22 	 | 	0
11043 	 | 	fb18 	 | 	0
11136 	 | 	fb2 	 | 	1
11197 	 | 	fb5 	 | 	0
11272 	 | 	fb7 	 | 	1
11367 	 | 	fb16 	 | 	1
11485 	 | 	fb17 	 | 	1
11650 	 | 	fb24 	 | 	1
12371 	 | 	fb20 	 | 	1
12564 	 | 	fb3 	 | 	1
12683 	 | 	fb1 	 | 	0
12886 	 | 	fb9 	 | 	1
12942 	 | 	fb7 	 | 	0
13078 	 | 	fb18 	 | 	1
13106 	 | 	fb10 	 | 	0
13261 	 | 	fb17 	 | 	0
13312 	 | 	fb22 	 | 	1
13464 	 | 	fb11 	 | 	0
13689 	 | 	fb21 	 | 	1
14337 	 | 	fb8 	 | 	0
14593 	 | 	fb23 	 | 	1
14795 	 | 	fb5 	 | 	1
14836 	 | 	fb10 	 | 	1
15133 	 | 	fb21 	 | 	0
15292 	 | 	fb12 	 | 	1
15494 	 | 	fb13 	 | 	1
15518 	 | 	fb22 	 | 	0
15707 	 | 	fb24 	 | 	0
16088 	 | 	fb18 	 | 	0
16094 	 | 	fb19 	 | 	0
16828 	 | 	fb1 	 | 	1
17237 	 | 	fb16 	 | 	0
17440 	 | 	fb5 	 | 	0
17632 	 | 	fb10 	 | 	0
17954 	 | 	fb12 	 | 	0
17975 	 | 	fb17 	 | 	1
18137 	 | 	fb13 	 | 	0
18144 	 | 	fb19 	 | 	1
18406 	 | 	fb2 	 | 	0
18566 	 | 	fb20 	 | 	0
18586 	 | 	fb1 	 | 	0
18792 	 | 	fb3 	 | 	0
18970 	 | 	fb9 	 | 	0
19066 	 | 	fb18 	 | 	1
