---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	0
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	0
0 	 | 	fb6 	 | 	0
0 	 | 	fb7 	 | 	0
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	0
0 	 | 	fb10 	 | 	0
0 	 | 	fb11 	 | 	0
0 	 | 	fb12 	 | 	0
0 	 | 	fb13 	 | 	0
0 	 | 	fb14 	 | 	0
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb16 	 | 	0
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	0
0 	 | 	fb20 	 | 	0
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	0
0 	 | 	fb24 	 | 	1
156 	 | 	fb4 	 | 	0
178 	 | 	fb21 	 | 	0
235 	 | 	fb22 	 | 	0
336 	 | 	fb17 	 | 	0
457 	 | 	fb24 	 | 	0
1174 	 | 	fb14 	 | 	1
1561 	 | 	fb15 	 | 	0
1641 	 | 	fb20 	 | 	1
1964 	 | 	fb23 	 | 	1
1988 	 | 	fb5 	 | 	1
1990 	 | 	fb7 	 | 	1
2249 	 | 	fb6 	 | 	1
2270 	 | 	fb17 	 | 	1
2307 	 | 	fb16 	 | 	1
2456 	 | 	fb9 	 | 	1
2706 	 | 	fb1 	 | 	1
2763 	 | 	fb19 	 | 	1
2789 	 | 	fb11 	 | 	1
2973 	 | 	fb21 	 | 	1
3097 	 | 	fb24 	 | 	1
3334 	 | 	fb22 	 | 	1
3390 	 | 	fb15 	 | 	1
3434 	 | 	fb4 	 | 	1
3978 	 | 	fb12 	 | 	1
4407 	 | 	fb13 	 | 	1
5216 	 | 	fb10 	 | 	1
6588 	 | 	fb20 	 | 	0
6761 	 | 	fb9 	 | 	0
6882 	 | 	fb23 	 | 	0
6950 	 | 	fb8 	 | 	0
7039 	 | 	fb11 	 | 	0
7438 	 | 	fb15 	 | 	0
7644 	 | 	fb16 	 | 	0
7741 	 | 	fb7 	 | 	0
7859 	 | 	fb22 	 | 	0
7905 	 | 	fb12 	 | 	0
8445 	 | 	fb14 	 | 	0
8493 	 | 	fb4 	 | 	0
8593 	 | 	fb2 	 | 	0
8633 	 | 	fb24 	 | 	0
8682 	 | 	fb10 	 | 	0
8688 	 | 	fb21 	 | 	0
8736 	 | 	fb5 	 | 	0
8822 	 | 	fb17 	 | 	0
8848 	 | 	fb6 	 | 	0
8960 	 | 	fb3 	 | 	0
9001 	 | 	fb13 	 | 	0
9064 	 | 	fb18 	 | 	0
10459 	 | 	fb19 	 | 	0
10963 	 | 	fb14 	 | 	1
12631 	 | 	fb1 	 | 	0
12838 	 | 	fb14 	 | 	0
13268 	 | 	fb7 	 | 	1
14861 	 | 	fb9 	 | 	1
14878 	 | 	fb15 	 | 	1
15284 	 | 	fb7 	 | 	0
16042 	 | 	fb11 	 | 	1
16543 	 | 	fb19 	 | 	1
16605 	 | 	fb3 	 | 	1
16641 	 | 	fb21 	 | 	1
16783 	 | 	fb23 	 | 	1
17253 	 | 	fb4 	 | 	1
17284 	 | 	fb9 	 | 	0
17652 	 | 	fb7 	 | 	1
17811 	 | 	fb5 	 | 	1
17840 	 | 	fb22 	 | 	1
17900 	 | 	fb1 	 | 	1
17952 	 | 	fb20 	 | 	1
17954 	 | 	fb14 	 | 	1
18337 	 | 	fb17 	 | 	1
18441 	 | 	fb2 	 | 	1
18495 	 | 	fb24 	 | 	1
18594 	 | 	fb6 	 | 	1
19059 	 | 	fb8 	 | 	1
19103 	 | 	fb12 	 | 	1
19157 	 | 	fb13 	 | 	1
19296 	 | 	fb9 	 | 	1
19459 	 | 	fb18 	 | 	1
19624 	 | 	fb10 	 | 	1
19955 	 | 	fb4 	 | 	0
