---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	0
0 	 | 	fb2 	 | 	0
0 	 | 	fb3 	 | 	0
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	0
0 	 | 	fb7 	 | 	0
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	0
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	0
0 	 | 	fb12 	 | 	0
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	0
0 	 | 	fb13 	 | 	0
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	0
0 	 | 	fb21 	 | 	0
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	0
0 	 | 	fb24 	 | 	0
393 	 | 	fb6 	 | 	1
816 	 | 	fb8 	 | 	0
873 	 | 	fb3 	 | 	1
886 	 | 	fb2 	 | 	1
950 	 | 	fb12 	 | 	0
3085 	 | 	fb20 	 | 	1
3192 	 | 	fb21 	 | 	1
4741 	 | 	fb17 	 | 	0
5262 	 | 	fb19 	 | 	0
5443 	 | 	fb8 	 | 	1
5789 	 | 	fb2 	 | 	0
6487 	 | 	fb7 	 | 	1
6730 	 | 	fb9 	 | 	1
6735 	 | 	fb13 	 | 	1
6866 	 | 	fb16 	 | 	0
7678 	 | 	fb23 	 | 	1
8056 	 | 	fb21 	 | 	0
8628 	 | 	fb9 	 | 	0
8769 	 | 	fb1 	 | 	1
9389 	 | 	fb3 	 | 	0
9450 	 | 	fb4 	 | 	0
9657 	 | 	fb5 	 | 	0
10533 	 | 	fb13 	 | 	0
12073 	 | 	fb2 	 | 	1
12078 	 | 	fb9 	 | 	1
12746 	 | 	fb24 	 | 	1
13226 	 | 	fb11 	 | 	1
13762 	 | 	fb5 	 | 	1
13777 	 | 	fb14 	 | 	0
14376 	 | 	fb1 	 | 	0
14977 	 | 	fb21 	 | 	1
15154 	 | 	fb24 	 | 	0
15241 	 | 	fb17 	 | 	1
15793 	 | 	fb8 	 | 	0
15934 	 | 	fb13 	 | 	1
16245 	 | 	fb11 	 | 	0
16521 	 | 	fb3 	 | 	1
17811 	 | 	fb12 	 | 	1
17941 	 | 	fb19 	 | 	1
17946 	 | 	fb2 	 | 	0
18814 	 | 	fb5 	 | 	0
18889 	 | 	fb3 	 | 	0
19953 	 | 	fb1 	 | 	1
