---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
2474 	 | 	fb4 	 | 	0
3398 	 | 	fb13 	 | 	0
5137 	 | 	fb15 	 | 	0
5452 	 | 	fb1 	 | 	0
5536 	 | 	fb2 	 | 	0
5568 	 | 	fb11 	 | 	0
5639 	 | 	fb12 	 | 	0
6178 	 | 	fb21 	 | 	0
6200 	 | 	fb9 	 | 	0
6252 	 | 	fb14 	 | 	0
6278 	 | 	fb24 	 | 	0
6482 	 | 	fb10 	 | 	0
6850 	 | 	fb19 	 | 	0
6991 	 | 	fb18 	 | 	0
6998 	 | 	fb17 	 | 	0
7391 	 | 	fb16 	 | 	0
7478 	 | 	fb22 	 | 	0
7799 	 | 	fb6 	 | 	0
8721 	 | 	fb23 	 | 	0
9992 	 | 	fb8 	 | 	0
10303 	 | 	fb5 	 | 	0
11656 	 | 	fb20 	 | 	0
12715 	 | 	fb3 	 | 	0
12779 	 | 	fb8 	 | 	1
13200 	 | 	fb7 	 | 	0
14732 	 | 	fb6 	 | 	1
