---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
1836 	 | 	fb20 	 | 	0
1897 	 | 	fb9 	 | 	0
2261 	 | 	fb5 	 | 	0
2330 	 | 	fb10 	 | 	0
2459 	 | 	fb13 	 | 	0
3350 	 | 	fb2 	 | 	0
3379 	 | 	fb9 	 | 	1
3480 	 | 	fb17 	 | 	0
3516 	 | 	fb6 	 | 	0
3695 	 | 	fb12 	 | 	0
3975 	 | 	fb7 	 | 	0
4071 	 | 	fb3 	 | 	0
4268 	 | 	fb19 	 | 	0
4271 	 | 	fb14 	 | 	0
4525 	 | 	fb18 	 | 	0
4699 	 | 	fb22 	 | 	0
4858 	 | 	fb11 	 | 	0
5053 	 | 	fb16 	 | 	0
5218 	 | 	fb21 	 | 	0
5359 	 | 	fb4 	 | 	0
5762 	 | 	fb5 	 | 	1
6068 	 | 	fb1 	 | 	0
6534 	 | 	fb22 	 | 	1
6664 	 | 	fb16 	 | 	1
6807 	 | 	fb9 	 | 	0
6899 	 | 	fb2 	 | 	1
6943 	 | 	fb17 	 | 	1
6980 	 | 	fb15 	 | 	0
7312 	 | 	fb10 	 | 	1
7313 	 | 	fb23 	 | 	0
7717 	 | 	fb19 	 | 	1
8008 	 | 	fb20 	 | 	1
8160 	 | 	fb3 	 | 	1
8182 	 | 	fb12 	 | 	1
8217 	 | 	fb24 	 | 	0
8313 	 | 	fb17 	 | 	0
8322 	 | 	fb11 	 | 	1
8509 	 | 	fb9 	 | 	1
8587 	 | 	fb14 	 | 	1
8638 	 | 	fb16 	 | 	0
8727 	 | 	fb13 	 | 	1
8762 	 | 	fb4 	 | 	1
8983 	 | 	fb7 	 | 	1
8987 	 | 	fb22 	 | 	0
9138 	 | 	fb2 	 | 	0
9569 	 | 	fb23 	 | 	1
9658 	 | 	fb18 	 | 	1
