---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
2070 	 | 	fb23 	 | 	0
3588 	 | 	fb9 	 | 	0
4052 	 | 	fb7 	 | 	0
4069 	 | 	fb11 	 | 	0
4316 	 | 	fb3 	 | 	0
4565 	 | 	fb24 	 | 	0
4991 	 | 	fb18 	 | 	0
5166 	 | 	fb9 	 | 	1
5971 	 | 	fb10 	 | 	0
6070 	 | 	fb12 	 | 	0
6085 	 | 	fb13 	 | 	0
6281 	 | 	fb2 	 | 	0
6363 	 | 	fb20 	 | 	0
7580 	 | 	fb16 	 | 	0
7707 	 | 	fb6 	 | 	0
8161 	 | 	fb18 	 | 	1
8219 	 | 	fb3 	 | 	1
8564 	 | 	fb13 	 | 	1
8660 	 | 	fb15 	 | 	0
8968 	 | 	fb4 	 | 	0
9005 	 | 	fb1 	 | 	0
9071 	 | 	fb2 	 | 	1
10483 	 | 	fb19 	 | 	0
10782 	 | 	fb8 	 | 	0
10837 	 | 	fb15 	 | 	1
11464 	 | 	fb14 	 | 	0
12877 	 | 	fb1 	 | 	1
14154 	 | 	fb6 	 | 	1
14354 	 | 	fb19 	 | 	1
14867 	 | 	fb14 	 | 	1
14975 	 | 	fb4 	 | 	1
15928 	 | 	fb24 	 | 	1
16051 	 | 	fb22 	 | 	0
16443 	 | 	fb23 	 | 	1
17123 	 | 	fb7 	 | 	1
17167 	 | 	fb16 	 | 	1
17808 	 | 	fb14 	 | 	0
18059 	 | 	fb9 	 | 	0
18092 	 | 	fb21 	 | 	0
18429 	 | 	fb13 	 | 	0
19069 	 | 	fb3 	 | 	0
19135 	 | 	fb8 	 | 	1
19260 	 | 	fb11 	 | 	1
