---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
2908 	 | 	fb20 	 | 	0
3633 	 | 	fb13 	 | 	0
3752 	 | 	fb4 	 | 	0
4170 	 | 	fb19 	 | 	0
4815 	 | 	fb8 	 | 	0
5070 	 | 	fb11 	 | 	0
5129 	 | 	fb9 	 | 	0
5378 	 | 	fb22 	 | 	0
5667 	 | 	fb20 	 | 	1
5669 	 | 	fb5 	 | 	0
5799 	 | 	fb21 	 | 	0
5817 	 | 	fb13 	 | 	1
5984 	 | 	fb4 	 | 	1
6452 	 | 	fb7 	 | 	0
6498 	 | 	fb12 	 | 	0
6712 	 | 	fb24 	 | 	0
6903 	 | 	fb11 	 | 	1
7138 	 | 	fb6 	 | 	0
7174 	 | 	fb23 	 | 	0
7200 	 | 	fb8 	 | 	1
7536 	 | 	fb9 	 | 	1
8420 	 | 	fb19 	 | 	1
8515 	 | 	fb14 	 | 	0
8849 	 | 	fb23 	 | 	1
8939 	 | 	fb9 	 | 	0
9036 	 | 	fb7 	 | 	1
9090 	 | 	fb16 	 | 	0
9104 	 | 	fb22 	 | 	1
9222 	 | 	fb12 	 | 	1
9442 	 | 	fb1 	 | 	0
10095 	 | 	fb5 	 | 	1
10285 	 | 	fb2 	 | 	0
10449 	 | 	fb20 	 | 	0
10636 	 | 	fb19 	 | 	0
10946 	 | 	fb24 	 | 	1
11130 	 | 	fb13 	 | 	0
11350 	 | 	fb11 	 | 	0
11556 	 | 	fb17 	 | 	0
11830 	 | 	fb12 	 | 	0
11837 	 | 	fb4 	 | 	0
11874 	 | 	fb15 	 | 	0
11959 	 | 	fb1 	 | 	1
12133 	 | 	fb16 	 | 	1
12273 	 | 	fb6 	 | 	1
12417 	 | 	fb7 	 | 	0
12527 	 | 	fb23 	 | 	0
12687 	 | 	fb18 	 | 	0
12726 	 | 	fb10 	 | 	0
13432 	 | 	fb19 	 | 	1
13558 	 | 	fb9 	 | 	1
13688 	 | 	fb21 	 | 	1
14067 	 | 	fb7 	 | 	1
14253 	 | 	fb5 	 | 	0
14335 	 | 	fb11 	 | 	1
14943 	 | 	fb4 	 | 	1
14988 	 | 	fb17 	 | 	1
15122 	 | 	fb18 	 | 	1
15384 	 | 	fb16 	 | 	0
15777 	 | 	fb23 	 | 	1
15840 	 | 	fb10 	 | 	1
15992 	 | 	fb15 	 | 	1
16138 	 | 	fb5 	 | 	1
16391 	 | 	fb14 	 | 	1
16761 	 | 	fb7 	 | 	0
16766 	 | 	fb3 	 | 	0
16921 	 | 	fb24 	 | 	0
17259 	 | 	fb1 	 | 	0
17708 	 | 	fb16 	 | 	1
18724 	 | 	fb11 	 | 	0
18991 	 | 	fb20 	 | 	1
19600 	 | 	fb8 	 | 	0
19960 	 | 	fb5 	 | 	0
