---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
1098 	 | 	fb21 	 | 	0
1523 	 | 	fb16 	 | 	0
1572 	 | 	fb4 	 | 	0
1888 	 | 	fb19 	 | 	0
2444 	 | 	fb23 	 | 	0
4146 	 | 	fb8 	 | 	0
4761 	 | 	fb9 	 | 	0
4878 	 | 	fb22 	 | 	0
5350 	 | 	fb16 	 | 	1
6583 	 | 	fb8 	 | 	1
7196 	 | 	fb19 	 | 	1
7537 	 | 	fb17 	 | 	0
8071 	 | 	fb3 	 | 	0
8117 	 | 	fb22 	 | 	1
8489 	 | 	fb7 	 | 	0
8573 	 | 	fb16 	 | 	0
8738 	 | 	fb15 	 | 	0
8988 	 | 	fb21 	 | 	1
9540 	 | 	fb6 	 | 	0
9711 	 | 	fb11 	 | 	0
9769 	 | 	fb3 	 | 	1
9903 	 | 	fb23 	 | 	1
10117 	 | 	fb12 	 | 	0
10191 	 | 	fb14 	 | 	0
10747 	 | 	fb19 	 | 	0
10771 	 | 	fb3 	 | 	0
10810 	 | 	fb21 	 | 	0
11031 	 | 	fb8 	 | 	0
11207 	 | 	fb2 	 | 	0
11303 	 | 	fb18 	 | 	0
11624 	 | 	fb14 	 | 	1
11990 	 | 	fb23 	 | 	0
12314 	 | 	fb6 	 | 	1
12529 	 | 	fb1 	 | 	0
12807 	 | 	fb3 	 | 	1
12936 	 | 	fb7 	 | 	1
12972 	 | 	fb8 	 | 	1
13575 	 | 	fb16 	 | 	1
13756 	 | 	fb5 	 | 	0
14084 	 | 	fb23 	 | 	1
14574 	 | 	fb8 	 | 	0
14615 	 | 	fb17 	 | 	1
15683 	 | 	fb21 	 | 	1
15868 	 | 	fb2 	 | 	1
16063 	 | 	fb22 	 | 	0
17257 	 | 	fb4 	 | 	1
17623 	 | 	fb15 	 | 	1
17824 	 | 	fb22 	 | 	1
18257 	 | 	fb7 	 | 	0
18402 	 | 	fb6 	 | 	0
18447 	 | 	fb8 	 | 	1
18841 	 | 	fb4 	 | 	0
19027 	 | 	fb2 	 | 	0
19240 	 | 	fb16 	 | 	0
19367 	 | 	fb4 	 | 	1
