---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
1903 	 | 	fb11 	 | 	0
2440 	 | 	fb15 	 | 	0
3219 	 | 	fb22 	 | 	0
3592 	 | 	fb14 	 | 	0
3692 	 | 	fb2 	 | 	0
6187 	 | 	fb15 	 | 	1
7320 	 | 	fb17 	 | 	0
7762 	 | 	fb21 	 | 	0
8716 	 | 	fb12 	 | 	0
8739 	 | 	fb19 	 | 	0
9493 	 | 	fb6 	 | 	0
9528 	 | 	fb2 	 | 	1
9992 	 | 	fb15 	 | 	0
10096 	 | 	fb24 	 | 	0
12049 	 | 	fb11 	 | 	1
13364 	 | 	fb2 	 | 	0
14684 	 | 	fb14 	 | 	1
15032 	 | 	fb16 	 | 	0
15697 	 | 	fb6 	 | 	1
16289 	 | 	fb11 	 | 	0
16612 	 | 	fb19 	 | 	1
17256 	 | 	fb9 	 | 	0
18125 	 | 	fb8 	 | 	0
19687 	 | 	fb5 	 | 	0
