---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
2663 	 | 	fb7 	 | 	0
3281 	 | 	fb5 	 | 	0
3282 	 | 	fb2 	 | 	0
3566 	 | 	fb23 	 | 	0
3583 	 | 	fb22 	 | 	0
3594 	 | 	fb21 	 | 	0
3730 	 | 	fb1 	 | 	0
4069 	 | 	fb15 	 | 	0
4393 	 | 	fb9 	 | 	0
5771 	 | 	fb21 	 | 	1
5807 	 | 	fb13 	 | 	0
6030 	 | 	fb19 	 | 	0
6155 	 | 	fb16 	 | 	0
6221 	 | 	fb18 	 | 	0
6243 	 | 	fb22 	 | 	1
6251 	 | 	fb10 	 | 	0
6275 	 | 	fb11 	 | 	0
6451 	 | 	fb7 	 | 	1
6549 	 | 	fb9 	 | 	1
6784 	 | 	fb1 	 | 	1
6800 	 | 	fb6 	 | 	0
7068 	 | 	fb14 	 | 	0
7070 	 | 	fb2 	 | 	1
7235 	 | 	fb3 	 | 	0
7413 	 | 	fb8 	 | 	0
8042 	 | 	fb4 	 | 	0
8640 	 | 	fb12 	 | 	0
8738 	 | 	fb24 	 | 	0
9576 	 | 	fb10 	 | 	1
9711 	 | 	fb22 	 | 	0
9903 	 | 	fb21 	 | 	0
9912 	 | 	fb2 	 | 	0
9930 	 | 	fb14 	 | 	1
10178 	 | 	fb6 	 | 	1
10430 	 | 	fb5 	 | 	1
10437 	 | 	fb17 	 | 	0
10675 	 | 	fb19 	 | 	1
10923 	 | 	fb15 	 | 	1
11162 	 | 	fb8 	 | 	1
11519 	 | 	fb3 	 | 	1
11662 	 | 	fb24 	 | 	1
12355 	 | 	fb18 	 | 	1
12519 	 | 	fb16 	 | 	1
12840 	 | 	fb22 	 | 	1
13930 	 | 	fb10 	 | 	0
13981 	 | 	fb21 	 | 	1
14079 	 | 	fb12 	 | 	1
14099 	 | 	fb5 	 | 	0
14293 	 | 	fb11 	 | 	1
14412 	 | 	fb8 	 | 	0
14759 	 | 	fb23 	 | 	1
15358 	 | 	fb19 	 | 	0
15376 	 | 	fb6 	 | 	0
15671 	 | 	fb3 	 | 	0
15809 	 | 	fb1 	 | 	0
16109 	 | 	fb12 	 | 	0
16437 	 | 	fb13 	 | 	1
16492 	 | 	fb10 	 | 	1
16698 	 | 	fb17 	 | 	1
16902 	 | 	fb2 	 | 	1
16931 	 | 	fb22 	 | 	0
17158 	 | 	fb9 	 | 	0
17749 	 | 	fb8 	 | 	1
18442 	 | 	fb23 	 | 	0
18754 	 | 	fb13 	 | 	0
19019 	 | 	fb2 	 | 	0
19284 	 | 	fb21 	 | 	0
19329 	 | 	fb6 	 | 	1
19469 	 | 	fb1 	 | 	1
19663 	 | 	fb10 	 | 	0
19670 	 | 	fb11 	 | 	0
19712 	 | 	fb3 	 | 	1
19896 	 | 	fb17 	 | 	0
