---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
1265 	 | 	fb14 	 | 	0
1493 	 | 	fb5 	 | 	0
1504 	 | 	fb7 	 | 	0
1578 	 | 	fb17 	 | 	0
1586 	 | 	fb20 	 | 	0
1681 	 | 	fb16 	 | 	0
1718 	 | 	fb18 	 | 	0
1740 	 | 	fb23 	 | 	0
2220 	 | 	fb7 	 | 	1
2284 	 | 	fb17 	 | 	1
2519 	 | 	fb3 	 | 	0
2818 	 | 	fb17 	 | 	0
2991 	 | 	fb5 	 | 	1
3011 	 | 	fb4 	 | 	0
3502 	 | 	fb23 	 | 	1
3717 	 | 	fb4 	 | 	1
3809 	 | 	fb22 	 | 	0
3847 	 | 	fb8 	 | 	0
4171 	 | 	fb10 	 | 	0
4228 	 | 	fb23 	 | 	0
4722 	 | 	fb19 	 | 	0
4815 	 | 	fb5 	 | 	0
4827 	 | 	fb17 	 | 	1
4984 	 | 	fb4 	 | 	0
5105 	 | 	fb20 	 | 	1
5202 	 | 	fb21 	 | 	0
5289 	 | 	fb3 	 | 	1
5381 	 | 	fb17 	 | 	0
5661 	 | 	fb8 	 | 	1
5668 	 | 	fb16 	 | 	1
5680 	 | 	fb4 	 | 	1
5805 	 | 	fb12 	 | 	0
5942 	 | 	fb18 	 | 	1
6118 	 | 	fb2 	 | 	0
6166 	 | 	fb13 	 | 	0
6339 	 | 	fb8 	 | 	0
6397 	 | 	fb11 	 | 	0
6480 	 | 	fb3 	 | 	0
6733 	 | 	fb21 	 | 	1
6972 	 | 	fb12 	 | 	1
7061 	 | 	fb24 	 | 	0
7327 	 | 	fb21 	 | 	0
7354 	 | 	fb18 	 | 	0
7397 	 | 	fb11 	 | 	1
7605 	 | 	fb17 	 | 	1
7839 	 | 	fb1 	 | 	0
8105 	 | 	fb3 	 | 	1
8172 	 | 	fb8 	 | 	1
8320 	 | 	fb17 	 | 	0
8484 	 | 	fb5 	 | 	1
8855 	 | 	fb17 	 | 	1
9161 	 | 	fb10 	 | 	1
9362 	 | 	fb5 	 | 	0
9362 	 | 	fb1 	 | 	1
9421 	 | 	fb19 	 | 	1
9456 	 | 	fb15 	 | 	0
9510 	 | 	fb20 	 | 	0
9573 	 | 	fb18 	 | 	1
9724 	 | 	fb10 	 | 	0
9844 	 | 	fb23 	 | 	1
10155 	 | 	fb20 	 | 	1
10267 	 | 	fb16 	 | 	0
10688 	 | 	fb20 	 | 	0
10806 	 | 	fb22 	 | 	1
10839 	 | 	fb17 	 | 	0
