---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb25 	 | 	1
0 	 | 	fb25 	 | 	1
0 	 | 	fb26 	 | 	1
0 	 | 	fb27 	 | 	1
0 	 | 	fb28 	 | 	1
0 	 | 	fb29 	 | 	1
0 	 | 	fb30 	 | 	1
0 	 | 	fb31 	 | 	1
0 	 | 	fb32 	 | 	1
0 	 | 	fb32 	 | 	1
0 	 | 	fb32 	 | 	1
0 	 | 	fb32 	 | 	1
0 	 | 	fb33 	 | 	1
0 	 | 	fb33 	 | 	1
0 	 | 	fb34 	 | 	1
0 	 | 	fb35 	 | 	1
0 	 | 	fb35 	 | 	1
0 	 | 	fb36 	 | 	1
0 	 | 	fb37 	 | 	1
0 	 | 	fb38 	 | 	1
0 	 | 	fb38 	 | 	1
0 	 | 	fb38 	 | 	1
0 	 | 	fb39 	 | 	1
0 	 | 	fb39 	 | 	1
0 	 | 	fb40 	 | 	1
801 	 | 	fb36 	 | 	0
998 	 | 	fb26 	 | 	0
1105 	 | 	fb23 	 | 	0
1289 	 | 	fb14 	 | 	0
1304 	 | 	fb39 	 | 	0
1306 	 | 	fb27 	 | 	0
1384 	 | 	fb19 	 | 	0
1402 	 | 	fb25 	 | 	0
1440 	 | 	fb16 	 | 	0
1489 	 | 	fb24 	 | 	0
1570 	 | 	fb28 	 | 	0
1596 	 | 	fb38 	 | 	0
1600 	 | 	fb4 	 | 	0
1613 	 | 	fb32 	 | 	0
1735 	 | 	fb8 	 | 	0
1759 	 | 	fb3 	 | 	0
2296 	 | 	fb13 	 | 	0
2473 	 | 	fb25 	 | 	1
2715 	 | 	fb31 	 | 	0
3165 	 | 	fb8 	 | 	1
3271 	 | 	fb1 	 | 	0
3320 	 | 	fb19 	 | 	1
3353 	 | 	fb4 	 | 	1
3671 	 | 	fb2 	 | 	0
3855 	 | 	fb22 	 | 	0
4009 	 | 	fb6 	 | 	0
4054 	 | 	fb26 	 | 	1
4062 	 | 	fb30 	 | 	0
4077 	 | 	fb13 	 | 	1
4389 	 | 	fb15 	 | 	0
4475 	 | 	fb35 	 | 	0
4570 	 | 	fb10 	 | 	0
4760 	 | 	fb20 	 | 	0
4939 	 | 	fb27 	 | 	1
5259 	 | 	fb10 	 | 	1
5503 	 | 	fb33 	 | 	0
5765 	 | 	fb6 	 | 	1
5845 	 | 	fb28 	 | 	1
5890 	 | 	fb39 	 | 	1
6070 	 | 	fb19 	 | 	0
6118 	 | 	fb3 	 | 	1
6123 	 | 	fb26 	 | 	0
6130 	 | 	fb8 	 | 	0
6149 	 | 	fb18 	 | 	0
6389 	 | 	fb35 	 | 	1
