---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
1413 	 | 	fb2 	 | 	0
1561 	 | 	fb7 	 | 	0
1634 	 | 	fb8 	 | 	0
1891 	 | 	fb4 	 | 	0
2110 	 | 	fb1 	 | 	0
2149 	 | 	fb2 	 | 	1
2513 	 | 	fb4 	 | 	1
2529 	 | 	fb5 	 | 	0
2868 	 | 	fb7 	 | 	1
2880 	 | 	fb2 	 | 	0
3107 	 | 	fb4 	 | 	0
3450 	 | 	fb3 	 | 	0
3473 	 | 	fb1 	 | 	1
3776 	 | 	fb5 	 | 	1
3888 	 | 	fb4 	 | 	1
4024 	 | 	fb2 	 | 	1
4067 	 | 	fb1 	 | 	0
4350 	 | 	fb6 	 | 	0
4517 	 | 	fb5 	 | 	0
4655 	 | 	fb1 	 | 	1
4980 	 | 	fb6 	 | 	1
5214 	 | 	fb1 	 | 	0
5218 	 | 	fb5 	 | 	1
5619 	 | 	fb6 	 | 	0
5790 	 | 	fb4 	 | 	0
6015 	 | 	fb5 	 | 	0
6371 	 | 	fb2 	 | 	0
6626 	 | 	fb5 	 | 	1
6952 	 | 	fb8 	 | 	1
7196 	 | 	fb5 	 | 	0
7566 	 | 	fb6 	 | 	1
7888 	 | 	fb7 	 | 	0
9174 	 | 	fb4 	 | 	1
9310 	 | 	fb6 	 | 	0
9441 	 | 	fb8 	 | 	0
10012 	 | 	fb8 	 | 	1
10209 	 | 	fb5 	 | 	1
10323 	 | 	fb4 	 | 	0
10580 	 | 	fb7 	 | 	1
10595 	 | 	fb8 	 | 	0
10924 	 | 	fb3 	 | 	1
11085 	 | 	fb4 	 | 	1
11226 	 | 	fb7 	 | 	0
11403 	 | 	fb8 	 | 	1
11881 	 | 	fb5 	 | 	0
12075 	 | 	fb8 	 | 	0
12189 	 | 	fb4 	 | 	0
12629 	 | 	fb8 	 | 	1
12803 	 | 	fb4 	 | 	1
12856 	 | 	fb5 	 | 	1
13156 	 | 	fb3 	 | 	0
13361 	 | 	fb4 	 | 	0
13402 	 | 	fb7 	 | 	1
13423 	 | 	fb5 	 | 	0
13757 	 | 	fb1 	 | 	1
13804 	 | 	fb3 	 | 	1
13967 	 | 	fb4 	 | 	1
14192 	 | 	fb7 	 | 	0
14347 	 | 	fb1 	 | 	0
14827 	 | 	fb3 	 | 	0
14898 	 | 	fb1 	 | 	1
15000 	 | 	fb7 	 | 	1
15311 	 | 	fb4 	 | 	0
16170 	 | 	fb8 	 | 	0
16246 	 | 	fb4 	 | 	1
17443 	 | 	fb5 	 | 	1
17555 	 | 	fb6 	 | 	1
17866 	 | 	fb8 	 | 	1
18272 	 | 	fb2 	 | 	1
18393 	 | 	fb3 	 | 	1
18994 	 | 	fb2 	 | 	0
19067 	 | 	fb3 	 | 	0
19178 	 | 	fb7 	 | 	0
19412 	 | 	fb6 	 | 	0
19558 	 | 	fb5 	 | 	0
19759 	 | 	fb2 	 | 	1
