---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
776 	 | 	fb2 	 | 	0
1130 	 | 	fb10 	 | 	0
1221 	 | 	fb13 	 | 	0
1541 	 | 	fb20 	 | 	0
1865 	 | 	fb11 	 | 	0
2452 	 | 	fb9 	 | 	0
2793 	 | 	fb5 	 | 	0
2816 	 | 	fb23 	 | 	0
3446 	 | 	fb20 	 | 	1
3647 	 | 	fb21 	 | 	0
3756 	 | 	fb9 	 | 	1
4587 	 | 	fb9 	 | 	0
4589 	 | 	fb4 	 | 	0
4637 	 | 	fb5 	 | 	1
4990 	 | 	fb20 	 | 	0
5169 	 | 	fb11 	 | 	1
5232 	 | 	fb2 	 | 	1
5327 	 | 	fb14 	 | 	0
5450 	 | 	fb21 	 | 	1
5643 	 | 	fb9 	 | 	1
5821 	 | 	fb4 	 | 	1
5832 	 | 	fb17 	 | 	0
6067 	 | 	fb2 	 | 	0
6268 	 | 	fb5 	 | 	0
6411 	 | 	fb6 	 | 	0
6766 	 | 	fb13 	 | 	1
7048 	 | 	fb9 	 | 	0
7381 	 | 	fb4 	 | 	0
7623 	 | 	fb20 	 | 	1
7681 	 | 	fb2 	 | 	1
7883 	 | 	fb5 	 | 	1
8004 	 | 	fb9 	 | 	1
8095 	 | 	fb11 	 | 	0
8242 	 | 	fb6 	 | 	1
8352 	 | 	fb18 	 | 	0
8469 	 | 	fb2 	 | 	0
8732 	 | 	fb10 	 | 	1
8920 	 | 	fb11 	 | 	1
8960 	 | 	fb4 	 | 	1
9192 	 | 	fb10 	 | 	0
9339 	 | 	fb2 	 | 	1
9374 	 | 	fb21 	 | 	0
9514 	 | 	fb4 	 | 	0
9654 	 | 	fb9 	 | 	0
9873 	 | 	fb18 	 | 	1
9968 	 | 	fb10 	 | 	1
10000 	 | 	fb11 	 | 	0
10017 	 | 	fb6 	 | 	0
10118 	 | 	fb20 	 | 	0
10286 	 | 	fb9 	 | 	1
10661 	 | 	fb2 	 | 	0
10864 	 | 	fb10 	 | 	0
10917 	 | 	fb20 	 | 	1
10918 	 | 	fb11 	 | 	1
10946 	 | 	fb9 	 | 	0
11299 	 | 	fb5 	 | 	0
11359 	 | 	fb2 	 | 	1
11370 	 | 	fb13 	 | 	0
11630 	 | 	fb3 	 | 	0
11672 	 | 	fb15 	 | 	0
11758 	 | 	fb2 	 | 	0
11814 	 | 	fb6 	 | 	1
12053 	 | 	fb17 	 | 	1
12260 	 | 	fb11 	 | 	0
12289 	 | 	fb4 	 | 	1
