---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
882 	 | 	fb5 	 | 	0
1066 	 | 	fb7 	 | 	0
1809 	 | 	fb4 	 | 	0
3010 	 | 	fb5 	 | 	1
3765 	 | 	fb3 	 | 	0
4018 	 | 	fb4 	 | 	1
4130 	 | 	fb8 	 | 	0
4472 	 | 	fb6 	 | 	0
4680 	 | 	fb5 	 | 	0
5300 	 | 	fb7 	 | 	1
5406 	 | 	fb3 	 | 	1
5904 	 | 	fb4 	 | 	0
6041 	 | 	fb2 	 | 	0
6078 	 | 	fb6 	 | 	1
6285 	 | 	fb8 	 | 	1
6779 	 | 	fb4 	 | 	1
7155 	 | 	fb3 	 | 	0
7644 	 | 	fb6 	 | 	0
7776 	 | 	fb8 	 | 	0
8725 	 | 	fb3 	 | 	1
8950 	 | 	fb5 	 | 	1
9125 	 | 	fb1 	 | 	0
9305 	 | 	fb8 	 | 	1
9994 	 | 	fb2 	 | 	1
10082 	 | 	fb8 	 | 	0
10302 	 | 	fb5 	 | 	0
11268 	 | 	fb7 	 | 	0
11306 	 | 	fb6 	 | 	1
11471 	 | 	fb5 	 | 	1
11676 	 | 	fb8 	 | 	1
12087 	 | 	fb3 	 | 	0
12885 	 | 	fb6 	 | 	0
12953 	 | 	fb7 	 | 	1
13337 	 | 	fb1 	 | 	1
13681 	 | 	fb3 	 | 	1
13693 	 | 	fb5 	 | 	0
14239 	 | 	fb2 	 | 	0
14512 	 | 	fb6 	 | 	1
14993 	 | 	fb1 	 | 	0
15010 	 | 	fb2 	 | 	1
15019 	 | 	fb8 	 | 	0
15640 	 | 	fb5 	 | 	1
15694 	 | 	fb4 	 | 	0
15827 	 | 	fb8 	 | 	1
16191 	 | 	fb6 	 | 	0
16644 	 | 	fb4 	 | 	1
17470 	 | 	fb8 	 | 	0
17542 	 | 	fb7 	 | 	0
17566 	 | 	fb6 	 | 	1
18334 	 | 	fb8 	 | 	1
18613 	 | 	fb5 	 | 	0
18651 	 | 	fb4 	 | 	0
19323 	 | 	fb7 	 | 	1
19803 	 | 	fb8 	 | 	0
