---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
1348 	 | 	fb6 	 | 	0
1420 	 | 	fb5 	 | 	0
1478 	 | 	fb9 	 | 	0
1493 	 | 	fb10 	 | 	0
1607 	 | 	fb15 	 | 	0
1732 	 | 	fb3 	 | 	0
1775 	 | 	fb16 	 | 	0
1800 	 | 	fb24 	 | 	0
2177 	 | 	fb12 	 | 	0
2309 	 | 	fb11 	 | 	0
2367 	 | 	fb22 	 | 	0
2372 	 | 	fb17 	 | 	0
2665 	 | 	fb19 	 | 	0
3001 	 | 	fb18 	 | 	0
3063 	 | 	fb9 	 | 	1
3116 	 | 	fb3 	 | 	1
3253 	 | 	fb5 	 | 	1
3421 	 | 	fb16 	 | 	1
3531 	 | 	fb14 	 | 	0
3768 	 | 	fb23 	 | 	0
3885 	 | 	fb12 	 | 	1
4093 	 | 	fb17 	 | 	1
4316 	 | 	fb11 	 | 	1
4410 	 | 	fb10 	 | 	1
4437 	 | 	fb21 	 | 	0
4852 	 | 	fb4 	 | 	0
5051 	 | 	fb7 	 | 	0
5067 	 | 	fb9 	 | 	0
5627 	 | 	fb17 	 | 	0
5675 	 | 	fb14 	 | 	1
5723 	 | 	fb22 	 | 	1
5863 	 | 	fb5 	 | 	0
5927 	 | 	fb11 	 | 	0
6042 	 | 	fb12 	 | 	0
6322 	 | 	fb8 	 | 	0
6361 	 | 	fb13 	 | 	0
6619 	 | 	fb9 	 | 	1
6714 	 | 	fb15 	 | 	1
7015 	 | 	fb6 	 | 	1
7227 	 | 	fb17 	 | 	1
7252 	 | 	fb1 	 | 	0
7345 	 | 	fb14 	 | 	0
7371 	 | 	fb16 	 | 	0
7425 	 | 	fb22 	 | 	0
7427 	 | 	fb4 	 | 	1
7705 	 | 	fb19 	 | 	1
7717 	 | 	fb20 	 | 	0
7830 	 | 	fb12 	 | 	1
7882 	 | 	fb18 	 | 	1
7957 	 | 	fb11 	 | 	1
8411 	 | 	fb6 	 | 	0
8571 	 | 	fb15 	 | 	0
9013 	 | 	fb22 	 | 	1
9085 	 | 	fb14 	 | 	1
9363 	 | 	fb11 	 | 	0
9462 	 | 	fb7 	 | 	1
9495 	 | 	fb17 	 | 	0
