---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
921 	 | 	fb8 	 | 	0
1413 	 | 	fb1 	 | 	0
1461 	 | 	fb3 	 | 	0
1538 	 | 	fb2 	 | 	0
1623 	 | 	fb5 	 | 	0
1968 	 | 	fb6 	 | 	0
1977 	 | 	fb7 	 | 	0
2086 	 | 	fb4 	 | 	0
3160 	 | 	fb3 	 | 	1
3525 	 | 	fb2 	 | 	1
5005 	 | 	fb6 	 | 	1
5256 	 | 	fb8 	 | 	1
5327 	 | 	fb1 	 | 	1
5456 	 | 	fb7 	 | 	1
5971 	 | 	fb5 	 | 	1
6251 	 | 	fb4 	 | 	1
6710 	 | 	fb6 	 | 	0
8870 	 | 	fb5 	 | 	0
9234 	 | 	fb4 	 | 	0
9437 	 | 	fb8 	 | 	0
9698 	 | 	fb2 	 | 	0
10301 	 | 	fb7 	 | 	0
10524 	 | 	fb3 	 | 	0
12193 	 | 	fb7 	 | 	1
12972 	 | 	fb1 	 | 	0
13580 	 | 	fb3 	 | 	1
13659 	 | 	fb8 	 | 	1
14180 	 | 	fb2 	 | 	1
15826 	 | 	fb5 	 | 	1
18535 	 | 	fb2 	 | 	0
18824 	 | 	fb8 	 | 	0
19304 	 | 	fb1 	 | 	1
19362 	 | 	fb3 	 | 	0
19398 	 | 	fb4 	 | 	1
19502 	 | 	fb5 	 | 	0
