---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	0
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	0
0 	 | 	fb5 	 | 	0
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	0
0 	 | 	fb8 	 | 	0
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	0
0 	 | 	fb14 	 | 	0
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	0
0 	 | 	fb17 	 | 	0
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	0
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	0
0 	 | 	fb19 	 | 	0
0 	 | 	fb19 	 | 	0
0 	 | 	fb20 	 | 	0
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	0
0 	 | 	fb24 	 | 	0
603 	 | 	fb15 	 | 	0
841 	 | 	fb10 	 | 	0
889 	 | 	fb13 	 | 	1
987 	 | 	fb9 	 | 	0
1869 	 | 	fb18 	 | 	1
1909 	 | 	fb20 	 | 	1
1931 	 | 	fb3 	 | 	1
2084 	 | 	fb15 	 | 	1
2224 	 | 	fb8 	 | 	1
2271 	 | 	fb17 	 | 	0
2419 	 | 	fb14 	 | 	1
2426 	 | 	fb12 	 | 	0
3902 	 | 	fb21 	 | 	0
4018 	 | 	fb12 	 | 	1
4448 	 | 	fb14 	 | 	0
5496 	 | 	fb13 	 | 	0
5550 	 | 	fb11 	 | 	0
5564 	 | 	fb21 	 | 	1
5679 	 | 	fb6 	 | 	0
5720 	 | 	fb1 	 | 	0
6142 	 | 	fb8 	 | 	0
6226 	 | 	fb4 	 | 	0
6698 	 | 	fb17 	 | 	1
6922 	 | 	fb10 	 | 	1
6986 	 | 	fb16 	 | 	1
7043 	 | 	fb4 	 | 	1
7181 	 | 	fb21 	 | 	0
7283 	 | 	fb7 	 | 	1
7497 	 | 	fb1 	 | 	1
7786 	 | 	fb19 	 | 	1
7986 	 | 	fb8 	 | 	1
8316 	 | 	fb17 	 | 	0
8681 	 | 	fb3 	 | 	0
8794 	 | 	fb5 	 | 	0
8823 	 | 	fb2 	 | 	0
8868 	 | 	fb4 	 | 	0
8925 	 | 	fb10 	 | 	0
9178 	 | 	fb7 	 | 	0
9473 	 | 	fb19 	 | 	0
9553 	 | 	fb9 	 | 	1
9581 	 | 	fb14 	 | 	1
9699 	 | 	fb17 	 | 	1
9784 	 | 	fb8 	 | 	0
9974 	 | 	fb1 	 | 	0
10270 	 | 	fb6 	 | 	1
10362 	 | 	fb4 	 | 	1
10469 	 | 	fb10 	 | 	1
10583 	 | 	fb19 	 | 	1
10937 	 | 	fb7 	 | 	1
11057 	 | 	fb3 	 | 	1
11190 	 | 	fb12 	 | 	0
11208 	 | 	fb17 	 | 	0
11346 	 | 	fb10 	 | 	0
11377 	 | 	fb8 	 | 	1
11959 	 | 	fb6 	 | 	0
12022 	 | 	fb4 	 | 	0
12350 	 | 	fb1 	 | 	1
12501 	 | 	fb24 	 | 	1
12642 	 | 	fb11 	 | 	1
12918 	 | 	fb2 	 | 	1
13004 	 | 	fb12 	 | 	1
13065 	 | 	fb16 	 | 	0
13081 	 | 	fb13 	 | 	1
13376 	 | 	fb8 	 | 	0
13393 	 | 	fb9 	 | 	0
13430 	 | 	fb3 	 | 	0
13659 	 | 	fb4 	 | 	1
13951 	 | 	fb11 	 | 	0
14115 	 | 	fb14 	 | 	0
14158 	 | 	fb1 	 | 	0
14864 	 | 	fb16 	 | 	1
14917 	 | 	fb9 	 | 	1
15107 	 | 	fb19 	 | 	0
15193 	 | 	fb4 	 | 	0
15352 	 | 	fb17 	 | 	1
15609 	 | 	fb6 	 | 	1
15646 	 | 	fb15 	 | 	0
15778 	 | 	fb14 	 | 	1
16010 	 | 	fb24 	 | 	0
16108 	 | 	fb13 	 | 	0
16548 	 | 	fb7 	 | 	0
16567 	 | 	fb2 	 | 	0
16651 	 | 	fb10 	 | 	1
16657 	 | 	fb1 	 | 	1
16689 	 | 	fb22 	 | 	0
16730 	 | 	fb19 	 | 	1
16838 	 | 	fb18 	 | 	0
16861 	 | 	fb9 	 | 	0
16899 	 | 	fb11 	 | 	1
17235 	 | 	fb14 	 | 	0
17330 	 | 	fb17 	 | 	0
17773 	 | 	fb24 	 | 	1
18051 	 | 	fb9 	 | 	1
18117 	 | 	fb6 	 | 	0
18148 	 | 	fb22 	 | 	1
18276 	 | 	fb10 	 | 	0
18521 	 | 	fb3 	 | 	1
18902 	 | 	fb17 	 | 	1
19031 	 | 	fb6 	 | 	1
19548 	 | 	fb24 	 | 	0
19732 	 | 	fb4 	 | 	1
19798 	 | 	fb10 	 | 	1
