---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
1583 	 | 	fb5 	 | 	0
1635 	 | 	fb14 	 | 	0
1688 	 | 	fb12 	 | 	0
1750 	 | 	fb8 	 | 	0
1815 	 | 	fb10 	 | 	0
1842 	 | 	fb21 	 | 	0
1874 	 | 	fb13 	 | 	0
2294 	 | 	fb16 	 | 	0
2465 	 | 	fb3 	 | 	0
3183 	 | 	fb18 	 | 	0
3289 	 | 	fb12 	 | 	1
3296 	 | 	fb1 	 | 	0
3816 	 | 	fb4 	 | 	0
4142 	 | 	fb16 	 | 	1
4443 	 | 	fb15 	 | 	0
4693 	 | 	fb24 	 | 	0
4731 	 | 	fb5 	 | 	1
4745 	 | 	fb18 	 | 	1
4752 	 | 	fb20 	 | 	0
4940 	 | 	fb9 	 | 	0
4949 	 | 	fb13 	 | 	1
5068 	 | 	fb22 	 | 	0
5172 	 | 	fb3 	 | 	1
5544 	 | 	fb4 	 | 	1
5573 	 | 	fb7 	 | 	0
6389 	 | 	fb20 	 | 	1
6460 	 | 	fb15 	 | 	1
6576 	 | 	fb9 	 | 	1
6915 	 | 	fb22 	 | 	1
6955 	 | 	fb17 	 | 	0
7050 	 | 	fb2 	 | 	0
7377 	 | 	fb5 	 | 	0
7403 	 | 	fb4 	 | 	0
7678 	 | 	fb21 	 | 	1
7727 	 | 	fb18 	 | 	0
7763 	 | 	fb14 	 | 	1
8167 	 | 	fb12 	 | 	0
8354 	 | 	fb7 	 | 	1
8461 	 | 	fb13 	 | 	0
8721 	 | 	fb2 	 | 	1
9119 	 | 	fb11 	 | 	0
9253 	 | 	fb15 	 | 	0
9301 	 | 	fb21 	 | 	0
9309 	 | 	fb18 	 | 	1
9916 	 | 	fb13 	 | 	1
10377 	 | 	fb24 	 | 	1
10445 	 | 	fb12 	 | 	1
10561 	 | 	fb22 	 | 	0
10726 	 | 	fb17 	 | 	1
10770 	 | 	fb14 	 | 	0
11061 	 | 	fb19 	 | 	0
11811 	 | 	fb13 	 | 	0
12405 	 | 	fb22 	 | 	1
12669 	 | 	fb6 	 | 	0
13116 	 | 	fb2 	 | 	0
13325 	 | 	fb23 	 | 	0
13464 	 | 	fb17 	 | 	0
13503 	 | 	fb5 	 | 	1
13721 	 | 	fb15 	 | 	1
13989 	 | 	fb4 	 | 	1
14057 	 | 	fb20 	 | 	0
14396 	 | 	fb6 	 | 	1
14500 	 | 	fb8 	 | 	1
15511 	 | 	fb2 	 | 	1
15824 	 | 	fb16 	 | 	0
15905 	 | 	fb4 	 | 	0
16159 	 | 	fb6 	 | 	0
16309 	 | 	fb17 	 | 	1
16942 	 | 	fb15 	 | 	0
17065 	 | 	fb20 	 | 	1
17298 	 | 	fb19 	 | 	1
17608 	 | 	fb17 	 | 	0
17989 	 | 	fb1 	 | 	1
18249 	 | 	fb12 	 | 	0
18255 	 | 	fb9 	 | 	0
18475 	 | 	fb5 	 | 	0
18782 	 | 	fb3 	 | 	0
18823 	 | 	fb22 	 | 	0
19206 	 | 	fb6 	 | 	1
19351 	 | 	fb17 	 | 	1
