---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
1688 	 | 	fb4 	 | 	0
1719 	 | 	fb3 	 | 	0
1737 	 | 	fb8 	 | 	0
1944 	 | 	fb7 	 | 	0
1961 	 | 	fb1 	 | 	0
2201 	 | 	fb6 	 | 	0
6009 	 | 	fb1 	 | 	1
6140 	 | 	fb8 	 | 	1
7605 	 | 	fb7 	 | 	1
9100 	 | 	fb2 	 | 	0
9745 	 | 	fb8 	 | 	0
9842 	 | 	fb6 	 | 	1
10864 	 | 	fb3 	 | 	1
12924 	 | 	fb6 	 | 	0
14071 	 | 	fb1 	 | 	0
14868 	 | 	fb4 	 | 	1
14975 	 | 	fb5 	 | 	0
15081 	 | 	fb2 	 | 	1
15898 	 | 	fb6 	 | 	1
16715 	 | 	fb7 	 | 	0
16942 	 | 	fb8 	 | 	1
17081 	 | 	fb3 	 | 	0
19065 	 | 	fb7 	 | 	1
19389 	 | 	fb4 	 | 	0
19636 	 | 	fb5 	 | 	1
19655 	 | 	fb2 	 | 	0
