---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb25 	 | 	1
0 	 | 	fb26 	 | 	1
0 	 | 	fb26 	 | 	1
0 	 | 	fb26 	 | 	1
0 	 | 	fb27 	 | 	1
0 	 | 	fb28 	 | 	1
0 	 | 	fb29 	 | 	1
0 	 | 	fb29 	 | 	1
0 	 | 	fb29 	 | 	1
0 	 | 	fb30 	 | 	1
0 	 | 	fb31 	 | 	1
0 	 | 	fb31 	 | 	1
0 	 | 	fb32 	 | 	1
0 	 | 	fb32 	 | 	1
0 	 | 	fb33 	 | 	1
0 	 | 	fb33 	 | 	1
0 	 | 	fb33 	 | 	1
0 	 | 	fb34 	 | 	1
0 	 | 	fb34 	 | 	1
0 	 | 	fb35 	 | 	1
0 	 | 	fb35 	 | 	1
0 	 | 	fb35 	 | 	1
0 	 | 	fb35 	 | 	1
0 	 | 	fb36 	 | 	1
0 	 | 	fb36 	 | 	1
0 	 | 	fb37 	 | 	1
0 	 | 	fb37 	 | 	1
0 	 | 	fb37 	 | 	1
0 	 | 	fb37 	 | 	1
0 	 | 	fb38 	 | 	1
0 	 | 	fb38 	 | 	1
0 	 | 	fb39 	 | 	1
0 	 | 	fb39 	 | 	1
0 	 | 	fb40 	 | 	1
0 	 | 	fb40 	 | 	1
1556 	 | 	fb6 	 | 	0
2042 	 | 	fb22 	 | 	0
2050 	 | 	fb21 	 | 	0
2184 	 | 	fb3 	 | 	0
2457 	 | 	fb4 	 | 	0
2955 	 | 	fb13 	 | 	0
2988 	 | 	fb5 	 | 	0
3084 	 | 	fb16 	 | 	0
3678 	 | 	fb10 	 | 	0
3747 	 | 	fb26 	 | 	0
3965 	 | 	fb2 	 | 	0
4141 	 | 	fb23 	 | 	0
4290 	 | 	fb34 	 | 	0
4840 	 | 	fb14 	 | 	0
4878 	 | 	fb40 	 | 	0
4879 	 | 	fb30 	 | 	0
5437 	 | 	fb27 	 | 	0
5458 	 | 	fb12 	 | 	0
6043 	 | 	fb33 	 | 	0
7020 	 | 	fb32 	 | 	0
7252 	 | 	fb17 	 | 	0
7943 	 | 	fb7 	 | 	0
7976 	 | 	fb9 	 | 	0
8217 	 | 	fb25 	 | 	0
8651 	 | 	fb1 	 | 	0
8755 	 | 	fb28 	 | 	0
8818 	 | 	fb23 	 | 	1
9096 	 | 	fb11 	 | 	0
9105 	 | 	fb36 	 | 	0
9385 	 | 	fb33 	 | 	1
10721 	 | 	fb37 	 | 	0
10735 	 | 	fb25 	 | 	1
10996 	 | 	fb16 	 | 	1
11160 	 | 	fb34 	 | 	1
11286 	 | 	fb17 	 | 	1
11330 	 | 	fb4 	 | 	1
11618 	 | 	fb3 	 | 	1
12325 	 | 	fb7 	 | 	1
12335 	 | 	fb5 	 | 	1
13062 	 | 	fb12 	 | 	1
13276 	 | 	fb24 	 | 	0
13406 	 | 	fb10 	 | 	1
13643 	 | 	fb9 	 | 	1
13765 	 | 	fb11 	 | 	1
14149 	 | 	fb32 	 | 	1
14278 	 | 	fb13 	 | 	1
14394 	 | 	fb22 	 | 	1
14451 	 | 	fb14 	 | 	1
14452 	 | 	fb21 	 | 	1
14743 	 | 	fb25 	 | 	0
15273 	 | 	fb12 	 | 	0
15688 	 | 	fb34 	 | 	0
15857 	 | 	fb11 	 | 	0
16292 	 | 	fb29 	 | 	0
17049 	 | 	fb14 	 | 	0
17627 	 | 	fb30 	 | 	1
17676 	 | 	fb15 	 | 	0
17983 	 | 	fb25 	 | 	1
18164 	 | 	fb20 	 | 	0
18298 	 | 	fb8 	 | 	0
18748 	 | 	fb36 	 | 	1
19063 	 | 	fb22 	 | 	0
19402 	 | 	fb32 	 | 	0
19505 	 | 	fb38 	 | 	0
