---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	0
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	0
0 	 | 	fb7 	 | 	0
0 	 | 	fb8 	 | 	0
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	0
0 	 | 	fb11 	 | 	0
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	0
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	0
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	0
0 	 | 	fb22 	 | 	0
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
8 	 | 	fb23 	 | 	0
41 	 | 	fb5 	 | 	0
148 	 | 	fb21 	 | 	1
752 	 | 	fb6 	 | 	1
1485 	 | 	fb14 	 | 	0
1630 	 | 	fb10 	 | 	1
1788 	 | 	fb4 	 | 	0
2138 	 | 	fb17 	 | 	0
2504 	 | 	fb16 	 | 	0
2550 	 | 	fb12 	 | 	0
2977 	 | 	fb11 	 | 	1
3112 	 | 	fb14 	 | 	1
3455 	 | 	fb8 	 | 	1
3985 	 | 	fb22 	 | 	1
4193 	 | 	fb19 	 | 	0
4423 	 | 	fb9 	 | 	0
4537 	 | 	fb7 	 | 	1
4932 	 | 	fb2 	 | 	1
5418 	 | 	fb5 	 | 	1
5531 	 | 	fb22 	 | 	0
5664 	 | 	fb6 	 | 	0
5834 	 | 	fb3 	 | 	0
5852 	 | 	fb8 	 | 	0
6160 	 | 	fb13 	 | 	0
6260 	 | 	fb19 	 | 	1
6319 	 | 	fb10 	 | 	0
6607 	 | 	fb21 	 | 	0
6740 	 | 	fb23 	 | 	1
6812 	 | 	fb20 	 | 	0
6959 	 | 	fb1 	 | 	0
7232 	 | 	fb5 	 | 	0
7413 	 | 	fb24 	 | 	0
8115 	 | 	fb4 	 | 	1
8169 	 | 	fb9 	 | 	1
8923 	 | 	fb14 	 | 	0
9100 	 | 	fb3 	 | 	1
9207 	 | 	fb17 	 | 	1
9588 	 | 	fb24 	 | 	1
9716 	 | 	fb6 	 | 	1
9821 	 | 	fb7 	 | 	0
10181 	 | 	fb22 	 | 	1
10285 	 | 	fb5 	 | 	1
10594 	 | 	fb16 	 | 	1
10619 	 | 	fb20 	 | 	1
10765 	 | 	fb23 	 | 	0
11001 	 | 	fb2 	 | 	0
11026 	 | 	fb8 	 | 	1
11289 	 | 	fb1 	 | 	1
11457 	 | 	fb6 	 | 	0
11744 	 | 	fb7 	 | 	1
11981 	 | 	fb22 	 | 	0
11995 	 | 	fb4 	 | 	0
12286 	 | 	fb21 	 | 	1
12311 	 | 	fb16 	 | 	0
12379 	 | 	fb17 	 | 	0
12402 	 | 	fb11 	 | 	0
12968 	 | 	fb5 	 | 	0
13824 	 | 	fb6 	 | 	1
14018 	 | 	fb13 	 | 	1
14025 	 | 	fb21 	 | 	0
14036 	 | 	fb9 	 | 	0
14434 	 | 	fb8 	 | 	0
14617 	 | 	fb7 	 | 	0
14749 	 | 	fb3 	 | 	0
15066 	 | 	fb5 	 | 	1
15355 	 | 	fb15 	 | 	1
15649 	 | 	fb23 	 | 	1
15707 	 | 	fb6 	 | 	0
15932 	 | 	fb10 	 | 	1
15999 	 | 	fb2 	 | 	1
16006 	 | 	fb7 	 | 	1
16249 	 | 	fb21 	 | 	1
16559 	 | 	fb20 	 | 	0
16809 	 | 	fb9 	 | 	1
17098 	 | 	fb19 	 | 	0
17368 	 | 	fb8 	 | 	1
17442 	 | 	fb17 	 | 	1
17459 	 | 	fb6 	 | 	1
17811 	 | 	fb13 	 | 	0
18431 	 | 	fb18 	 | 	1
18564 	 | 	fb21 	 | 	0
18599 	 | 	fb1 	 | 	0
18706 	 | 	fb7 	 | 	0
19032 	 | 	fb12 	 | 	1
19594 	 | 	fb22 	 | 	1
