---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	0
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	0
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	0
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	0
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	0
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	0
0 	 | 	fb14 	 | 	0
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	0
0 	 | 	fb16 	 | 	0
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	0
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	0
0 	 | 	fb24 	 | 	0
0 	 | 	fb25 	 | 	1
0 	 | 	fb25 	 | 	0
0 	 | 	fb26 	 | 	1
0 	 | 	fb27 	 | 	0
0 	 | 	fb28 	 | 	0
0 	 | 	fb29 	 | 	0
0 	 | 	fb30 	 | 	0
0 	 | 	fb31 	 | 	1
0 	 | 	fb32 	 | 	1
0 	 | 	fb33 	 | 	0
0 	 | 	fb34 	 | 	1
0 	 | 	fb34 	 | 	1
0 	 | 	fb34 	 | 	1
0 	 | 	fb35 	 | 	1
0 	 | 	fb36 	 | 	1
0 	 | 	fb37 	 | 	1
0 	 | 	fb38 	 | 	1
0 	 | 	fb39 	 | 	0
0 	 | 	fb40 	 | 	1
2 	 | 	fb16 	 | 	1
132 	 | 	fb33 	 | 	1
292 	 | 	fb13 	 | 	1
313 	 | 	fb25 	 | 	1
377 	 | 	fb27 	 | 	1
413 	 | 	fb18 	 | 	0
557 	 | 	fb29 	 | 	1
577 	 | 	fb38 	 | 	0
821 	 | 	fb3 	 | 	1
1003 	 | 	fb23 	 | 	1
1104 	 | 	fb17 	 | 	0
1187 	 | 	fb30 	 | 	1
1211 	 | 	fb11 	 | 	0
1304 	 | 	fb37 	 | 	0
1445 	 | 	fb36 	 | 	0
1555 	 | 	fb14 	 | 	0
1586 	 | 	fb28 	 | 	1
1735 	 | 	fb5 	 | 	0
1774 	 | 	fb19 	 | 	1
1785 	 | 	fb2 	 | 	0
1912 	 | 	fb26 	 | 	0
2053 	 | 	fb22 	 | 	0
2081 	 | 	fb6 	 | 	1
2167 	 | 	fb21 	 | 	0
2215 	 | 	fb39 	 | 	1
2233 	 | 	fb12 	 | 	0
2317 	 | 	fb34 	 | 	0
2447 	 | 	fb18 	 | 	1
2473 	 | 	fb35 	 | 	0
2572 	 | 	fb40 	 | 	0
2782 	 | 	fb38 	 | 	1
2841 	 | 	fb30 	 | 	0
3013 	 | 	fb15 	 | 	1
3082 	 | 	fb33 	 | 	0
3125 	 | 	fb1 	 | 	1
3324 	 | 	fb9 	 | 	1
3648 	 | 	fb19 	 | 	0
3818 	 | 	fb11 	 | 	1
3843 	 | 	fb6 	 | 	0
4052 	 | 	fb28 	 | 	0
4058 	 | 	fb29 	 | 	0
4067 	 | 	fb5 	 | 	1
4118 	 | 	fb2 	 | 	1
4132 	 | 	fb22 	 | 	1
4212 	 | 	fb39 	 | 	0
4341 	 | 	fb12 	 | 	1
4417 	 | 	fb32 	 | 	0
4444 	 | 	fb36 	 | 	1
4564 	 | 	fb26 	 | 	1
4613 	 | 	fb25 	 | 	0
4625 	 | 	fb15 	 | 	0
4694 	 | 	fb24 	 | 	1
4701 	 | 	fb21 	 | 	1
