---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	0
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	0
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	0
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	0
0 	 | 	fb10 	 | 	0
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	0
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	0
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	0
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
108 	 | 	fb11 	 | 	0
660 	 | 	fb8 	 | 	0
776 	 | 	fb24 	 | 	0
788 	 | 	fb6 	 | 	1
816 	 | 	fb3 	 | 	1
993 	 | 	fb20 	 | 	1
1070 	 | 	fb22 	 | 	0
1122 	 | 	fb23 	 | 	0
1273 	 | 	fb7 	 | 	0
1277 	 | 	fb21 	 | 	0
1331 	 | 	fb18 	 | 	0
1439 	 | 	fb10 	 | 	1
2273 	 | 	fb15 	 | 	0
2323 	 | 	fb12 	 | 	1
2608 	 | 	fb24 	 | 	1
2625 	 | 	fb20 	 | 	0
2873 	 | 	fb2 	 | 	0
2965 	 | 	fb6 	 | 	0
3253 	 | 	fb5 	 | 	0
3319 	 | 	fb4 	 | 	0
3467 	 | 	fb17 	 | 	0
3553 	 | 	fb13 	 | 	0
3554 	 | 	fb19 	 | 	0
3896 	 | 	fb16 	 | 	0
4198 	 | 	fb9 	 | 	1
4483 	 | 	fb15 	 | 	1
4754 	 | 	fb14 	 | 	1
5325 	 | 	fb1 	 | 	1
5786 	 | 	fb9 	 | 	0
6829 	 | 	fb17 	 | 	1
6832 	 | 	fb10 	 | 	0
6941 	 | 	fb19 	 | 	1
6982 	 | 	fb2 	 | 	1
7184 	 | 	fb4 	 | 	1
7200 	 | 	fb11 	 | 	1
7369 	 | 	fb18 	 | 	1
7423 	 | 	fb20 	 | 	1
7547 	 | 	fb22 	 | 	1
7690 	 | 	fb9 	 | 	1
7758 	 | 	fb24 	 | 	0
7795 	 | 	fb8 	 | 	1
7923 	 | 	fb13 	 | 	1
7929 	 | 	fb16 	 | 	1
7969 	 | 	fb6 	 | 	1
8015 	 | 	fb23 	 | 	1
8811 	 | 	fb5 	 | 	1
9104 	 | 	fb10 	 | 	1
9166 	 | 	fb21 	 | 	1
9425 	 | 	fb8 	 | 	0
10288 	 | 	fb19 	 | 	0
11674 	 | 	fb17 	 | 	0
11681 	 | 	fb6 	 | 	0
11900 	 | 	fb24 	 | 	1
12186 	 | 	fb7 	 | 	1
12462 	 | 	fb19 	 | 	1
12801 	 | 	fb8 	 | 	1
13060 	 | 	fb21 	 | 	0
13577 	 | 	fb5 	 | 	0
14405 	 | 	fb18 	 | 	0
14450 	 | 	fb17 	 | 	1
14552 	 | 	fb14 	 | 	0
14861 	 | 	fb24 	 | 	0
15136 	 | 	fb6 	 | 	1
15161 	 | 	fb13 	 | 	0
15193 	 | 	fb21 	 | 	1
15353 	 | 	fb2 	 | 	0
15382 	 | 	fb9 	 | 	0
15461 	 | 	fb7 	 | 	0
15474 	 | 	fb23 	 | 	0
15508 	 | 	fb1 	 | 	0
15727 	 | 	fb20 	 | 	0
15750 	 | 	fb16 	 | 	0
16183 	 | 	fb12 	 | 	0
16400 	 | 	fb19 	 | 	0
17125 	 | 	fb17 	 | 	0
17767 	 | 	fb15 	 | 	0
19292 	 | 	fb20 	 | 	1
19501 	 | 	fb22 	 | 	0
19634 	 | 	fb10 	 | 	0
