---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	0
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	0
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	0
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	0
0 	 | 	fb10 	 | 	0
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	0
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	0
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	0
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb25 	 | 	1
0 	 | 	fb26 	 | 	1
0 	 | 	fb27 	 | 	0
0 	 | 	fb28 	 | 	1
0 	 | 	fb29 	 | 	1
0 	 | 	fb30 	 | 	1
0 	 | 	fb31 	 | 	1
0 	 | 	fb32 	 | 	0
0 	 | 	fb32 	 | 	0
0 	 | 	fb33 	 | 	0
0 	 | 	fb34 	 | 	1
0 	 | 	fb35 	 | 	1
0 	 | 	fb36 	 | 	0
0 	 | 	fb37 	 | 	0
0 	 | 	fb38 	 | 	1
0 	 | 	fb39 	 | 	1
0 	 | 	fb40 	 | 	1
108 	 | 	fb11 	 | 	0
240 	 | 	fb34 	 | 	0
743 	 | 	fb31 	 | 	0
1744 	 | 	fb24 	 | 	0
1838 	 | 	fb7 	 | 	0
2288 	 | 	fb15 	 | 	0
2968 	 | 	fb2 	 | 	0
2982 	 | 	fb22 	 | 	0
3449 	 | 	fb33 	 | 	1
3856 	 | 	fb20 	 | 	1
4697 	 | 	fb13 	 | 	0
4895 	 | 	fb5 	 | 	0
4911 	 | 	fb12 	 | 	1
4992 	 | 	fb17 	 | 	0
7560 	 | 	fb4 	 | 	0
8836 	 | 	fb19 	 | 	0
9048 	 | 	fb27 	 | 	1
9486 	 | 	fb17 	 | 	1
9490 	 | 	fb38 	 | 	0
9588 	 | 	fb8 	 | 	0
9818 	 | 	fb26 	 | 	0
9878 	 | 	fb11 	 | 	1
10292 	 | 	fb21 	 | 	0
10541 	 | 	fb27 	 | 	0
10597 	 | 	fb9 	 | 	1
11062 	 | 	fb14 	 | 	1
11316 	 | 	fb10 	 | 	1
12154 	 | 	fb34 	 | 	1
12685 	 | 	fb29 	 | 	0
13375 	 | 	fb28 	 | 	0
13572 	 | 	fb23 	 | 	0
13633 	 | 	fb25 	 | 	0
13950 	 | 	fb13 	 | 	1
14185 	 | 	fb16 	 | 	0
14273 	 | 	fb32 	 | 	1
14514 	 | 	fb7 	 | 	1
15433 	 | 	fb30 	 | 	0
15629 	 | 	fb1 	 | 	1
15708 	 | 	fb27 	 | 	1
15802 	 | 	fb12 	 | 	0
16583 	 | 	fb29 	 | 	1
17130 	 | 	fb5 	 | 	1
17278 	 | 	fb37 	 | 	1
17356 	 | 	fb39 	 | 	0
17457 	 | 	fb17 	 | 	0
17672 	 | 	fb26 	 | 	1
17836 	 | 	fb32 	 | 	0
18161 	 | 	fb3 	 | 	1
18501 	 | 	fb16 	 | 	1
18799 	 | 	fb24 	 | 	1
19064 	 | 	fb21 	 | 	1
19085 	 | 	fb27 	 | 	0
19179 	 | 	fb7 	 | 	0
19304 	 | 	fb28 	 | 	1
19585 	 | 	fb31 	 | 	1
19951 	 | 	fb11 	 | 	0
