---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
2077 	 | 	fb2 	 | 	0
2758 	 | 	fb16 	 | 	0
2935 	 | 	fb23 	 | 	0
3491 	 | 	fb12 	 | 	0
3984 	 | 	fb10 	 | 	0
4776 	 | 	fb17 	 | 	0
5401 	 | 	fb24 	 | 	0
5554 	 | 	fb14 	 | 	0
5674 	 | 	fb3 	 | 	0
6338 	 | 	fb11 	 | 	0
6367 	 | 	fb2 	 | 	1
6407 	 | 	fb23 	 | 	1
6459 	 | 	fb8 	 | 	0
6569 	 | 	fb10 	 | 	1
6589 	 | 	fb18 	 | 	0
6691 	 | 	fb1 	 | 	0
7077 	 | 	fb13 	 | 	0
7171 	 | 	fb5 	 | 	0
7236 	 | 	fb7 	 | 	0
7625 	 | 	fb22 	 | 	0
7664 	 | 	fb24 	 | 	1
7723 	 | 	fb21 	 | 	0
8069 	 | 	fb4 	 | 	0
8199 	 | 	fb20 	 | 	0
8214 	 | 	fb14 	 | 	1
8253 	 | 	fb19 	 | 	0
8341 	 | 	fb18 	 | 	1
8420 	 | 	fb9 	 | 	0
8823 	 | 	fb15 	 | 	0
8883 	 | 	fb16 	 | 	1
9028 	 | 	fb1 	 | 	1
9154 	 | 	fb11 	 | 	1
9320 	 | 	fb2 	 | 	0
9401 	 | 	fb7 	 | 	1
9600 	 | 	fb17 	 | 	1
9762 	 | 	fb21 	 | 	1
9917 	 | 	fb4 	 | 	1
10712 	 | 	fb22 	 | 	1
11493 	 | 	fb6 	 | 	0
11954 	 | 	fb12 	 | 	1
12366 	 | 	fb1 	 | 	0
12489 	 | 	fb13 	 | 	1
13632 	 | 	fb4 	 | 	0
13756 	 | 	fb19 	 | 	1
13918 	 | 	fb2 	 | 	1
14115 	 | 	fb20 	 | 	1
14264 	 | 	fb23 	 | 	0
14357 	 | 	fb15 	 | 	1
14439 	 | 	fb11 	 | 	0
14490 	 | 	fb6 	 | 	1
15389 	 | 	fb8 	 | 	1
15805 	 | 	fb21 	 | 	0
15817 	 | 	fb4 	 | 	1
15910 	 | 	fb3 	 | 	1
15932 	 | 	fb1 	 | 	1
16120 	 | 	fb12 	 | 	0
16493 	 | 	fb11 	 | 	1
17051 	 | 	fb6 	 | 	0
18007 	 | 	fb18 	 | 	0
18149 	 | 	fb16 	 | 	0
18707 	 | 	fb21 	 | 	1
19186 	 | 	fb23 	 | 	1
19298 	 | 	fb20 	 | 	0
19322 	 | 	fb6 	 | 	1
19428 	 | 	fb12 	 | 	1
