---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
1404 	 | 	fb1 	 | 	0
1478 	 | 	fb2 	 | 	0
1512 	 | 	fb13 	 | 	0
1519 	 | 	fb15 	 | 	0
1584 	 | 	fb23 	 | 	0
1679 	 | 	fb8 	 | 	0
1701 	 | 	fb10 	 | 	0
1709 	 | 	fb21 	 | 	0
1915 	 | 	fb11 	 | 	0
1931 	 | 	fb17 	 | 	0
1981 	 | 	fb22 	 | 	0
2054 	 | 	fb7 	 | 	0
2115 	 | 	fb19 	 | 	0
2253 	 | 	fb2 	 | 	1
2254 	 | 	fb16 	 | 	0
2355 	 | 	fb5 	 | 	0
2458 	 | 	fb8 	 | 	1
2500 	 | 	fb14 	 | 	0
2809 	 | 	fb3 	 | 	0
2999 	 | 	fb7 	 | 	1
3045 	 | 	fb24 	 | 	0
3090 	 | 	fb1 	 | 	1
3179 	 | 	fb19 	 | 	1
3323 	 | 	fb4 	 | 	0
3484 	 | 	fb6 	 | 	0
3644 	 | 	fb2 	 | 	0
3652 	 | 	fb11 	 | 	1
3662 	 | 	fb20 	 | 	0
3723 	 | 	fb9 	 | 	0
3732 	 | 	fb15 	 | 	1
3784 	 | 	fb8 	 | 	0
3919 	 | 	fb18 	 | 	0
4628 	 | 	fb9 	 | 	1
4954 	 | 	fb20 	 | 	1
5034 	 | 	fb12 	 | 	0
5090 	 | 	fb14 	 | 	1
5351 	 | 	fb8 	 | 	1
5365 	 | 	fb9 	 | 	0
5418 	 | 	fb22 	 | 	1
5527 	 | 	fb15 	 | 	0
5595 	 | 	fb5 	 | 	1
6017 	 | 	fb17 	 | 	1
6131 	 | 	fb3 	 | 	1
6284 	 | 	fb21 	 | 	1
6392 	 | 	fb4 	 | 	1
6414 	 | 	fb12 	 | 	1
6596 	 | 	fb18 	 | 	1
6608 	 | 	fb9 	 | 	1
6628 	 | 	fb14 	 | 	0
6633 	 | 	fb15 	 | 	1
6731 	 | 	fb24 	 | 	1
6832 	 | 	fb8 	 | 	0
6857 	 | 	fb13 	 | 	1
6878 	 | 	fb6 	 | 	1
7018 	 | 	fb22 	 | 	0
7049 	 | 	fb10 	 | 	1
