---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
1605 	 | 	fb14 	 | 	0
1625 	 | 	fb1 	 | 	0
1712 	 | 	fb17 	 | 	0
1846 	 | 	fb16 	 | 	0
1921 	 | 	fb13 	 | 	0
1941 	 | 	fb20 	 | 	0
1962 	 | 	fb11 	 | 	0
2373 	 | 	fb2 	 | 	0
2839 	 | 	fb6 	 | 	0
3015 	 | 	fb23 	 | 	0
3734 	 | 	fb16 	 | 	1
5285 	 | 	fb12 	 | 	0
5364 	 | 	fb11 	 | 	1
5443 	 | 	fb22 	 | 	0
6372 	 | 	fb21 	 | 	0
6541 	 | 	fb9 	 | 	0
6862 	 | 	fb6 	 | 	1
7288 	 | 	fb18 	 | 	0
8160 	 | 	fb21 	 | 	1
9111 	 | 	fb12 	 | 	1
9145 	 | 	fb24 	 | 	0
9263 	 | 	fb17 	 | 	1
9617 	 | 	fb23 	 | 	1
9795 	 | 	fb19 	 | 	0
9993 	 | 	fb5 	 | 	0
10666 	 | 	fb1 	 | 	1
11285 	 | 	fb17 	 | 	0
11381 	 | 	fb11 	 | 	0
11714 	 | 	fb13 	 | 	1
13004 	 | 	fb3 	 | 	0
13283 	 | 	fb2 	 | 	1
13722 	 | 	fb9 	 | 	1
14140 	 | 	fb18 	 | 	1
14159 	 | 	fb7 	 | 	0
14956 	 | 	fb21 	 | 	0
15468 	 | 	fb23 	 | 	0
15704 	 | 	fb10 	 | 	0
17013 	 | 	fb17 	 | 	1
17820 	 | 	fb5 	 | 	1
18049 	 | 	fb7 	 | 	1
18324 	 | 	fb3 	 | 	1
19480 	 | 	fb6 	 | 	0
19562 	 | 	fb10 	 | 	1
19720 	 | 	fb7 	 | 	0
19790 	 | 	fb13 	 | 	0
