---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
994 	 | 	fb23 	 | 	0
1038 	 | 	fb14 	 | 	0
1297 	 | 	fb24 	 | 	0
1675 	 | 	fb4 	 | 	0
2063 	 | 	fb15 	 | 	0
2216 	 | 	fb13 	 | 	0
2322 	 | 	fb7 	 | 	0
2494 	 | 	fb1 	 | 	0
2647 	 | 	fb24 	 | 	1
2782 	 | 	fb3 	 | 	0
2962 	 | 	fb23 	 | 	1
2964 	 | 	fb12 	 | 	0
3188 	 | 	fb20 	 | 	0
3334 	 | 	fb11 	 | 	0
3553 	 | 	fb17 	 | 	0
3656 	 | 	fb16 	 | 	0
3693 	 | 	fb21 	 | 	0
3988 	 | 	fb18 	 | 	0
4270 	 | 	fb22 	 | 	0
4436 	 | 	fb19 	 | 	0
4515 	 | 	fb24 	 | 	0
4528 	 | 	fb2 	 | 	0
4608 	 | 	fb14 	 | 	1
4762 	 | 	fb4 	 | 	1
5104 	 | 	fb23 	 | 	0
5950 	 | 	fb4 	 | 	0
6395 	 | 	fb6 	 | 	0
6858 	 | 	fb20 	 | 	1
6903 	 | 	fb2 	 | 	1
7021 	 | 	fb24 	 | 	1
7143 	 | 	fb22 	 | 	1
7296 	 | 	fb13 	 | 	1
7338 	 | 	fb17 	 | 	1
7537 	 | 	fb6 	 | 	1
7640 	 | 	fb10 	 | 	0
7665 	 | 	fb4 	 | 	1
7945 	 | 	fb9 	 | 	0
8375 	 | 	fb6 	 | 	0
8745 	 | 	fb22 	 | 	0
8828 	 | 	fb8 	 | 	0
8856 	 | 	fb21 	 | 	1
9395 	 | 	fb18 	 | 	1
9400 	 | 	fb7 	 | 	1
9415 	 | 	fb13 	 | 	0
9493 	 | 	fb9 	 | 	1
9550 	 | 	fb20 	 | 	0
9706 	 | 	fb19 	 | 	1
9709 	 | 	fb11 	 | 	1
9752 	 | 	fb22 	 | 	1
9856 	 | 	fb5 	 | 	0
9945 	 | 	fb16 	 | 	1
10145 	 | 	fb2 	 | 	0
10187 	 | 	fb21 	 | 	0
