---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
1320 	 | 	fb3 	 | 	0
1608 	 | 	fb7 	 | 	0
1716 	 | 	fb5 	 | 	0
2500 	 | 	fb7 	 | 	1
3829 	 | 	fb5 	 | 	1
3956 	 | 	fb3 	 | 	1
4083 	 | 	fb1 	 | 	0
4140 	 | 	fb6 	 | 	0
4856 	 | 	fb1 	 | 	1
4930 	 | 	fb2 	 | 	0
5075 	 | 	fb5 	 | 	0
5111 	 | 	fb8 	 | 	0
5334 	 | 	fb3 	 | 	0
5772 	 | 	fb6 	 | 	1
5776 	 | 	fb7 	 | 	0
6552 	 | 	fb3 	 | 	1
6682 	 | 	fb1 	 | 	0
6691 	 | 	fb5 	 | 	1
6717 	 | 	fb8 	 | 	1
7122 	 | 	fb2 	 | 	1
7619 	 | 	fb3 	 | 	0
7836 	 | 	fb1 	 | 	1
7993 	 | 	fb8 	 | 	0
9120 	 | 	fb4 	 | 	0
9388 	 | 	fb7 	 | 	1
9666 	 | 	fb3 	 | 	1
9751 	 | 	fb8 	 | 	1
9942 	 | 	fb1 	 | 	0
10587 	 | 	fb8 	 | 	0
10941 	 | 	fb7 	 | 	0
11439 	 | 	fb5 	 | 	0
11543 	 | 	fb2 	 | 	0
11605 	 | 	fb1 	 | 	1
12563 	 | 	fb1 	 | 	0
13020 	 | 	fb5 	 | 	1
13760 	 | 	fb4 	 | 	1
14079 	 | 	fb7 	 | 	1
14331 	 | 	fb8 	 | 	1
14773 	 | 	fb3 	 | 	0
15279 	 | 	fb1 	 | 	1
15388 	 | 	fb6 	 | 	0
15444 	 | 	fb5 	 | 	0
15518 	 | 	fb2 	 | 	1
15594 	 | 	fb4 	 | 	0
16238 	 | 	fb6 	 | 	1
16374 	 | 	fb3 	 | 	1
16506 	 | 	fb8 	 | 	0
17033 	 | 	fb6 	 | 	0
17132 	 | 	fb2 	 | 	0
17151 	 | 	fb5 	 | 	1
17290 	 | 	fb7 	 | 	0
17353 	 | 	fb4 	 | 	1
18486 	 | 	fb3 	 | 	0
18495 	 | 	fb1 	 | 	0
18708 	 | 	fb7 	 | 	1
19625 	 | 	fb6 	 | 	1
19661 	 | 	fb2 	 | 	1
