---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
1474 	 | 	fb21 	 | 	0
1633 	 | 	fb9 	 | 	0
1644 	 | 	fb10 	 | 	0
1722 	 | 	fb12 	 | 	0
1738 	 | 	fb22 	 | 	0
1869 	 | 	fb24 	 | 	0
2055 	 | 	fb6 	 | 	0
2851 	 | 	fb23 	 | 	0
3229 	 | 	fb9 	 | 	1
3550 	 | 	fb18 	 | 	0
3659 	 | 	fb11 	 | 	0
4086 	 | 	fb1 	 | 	0
4134 	 | 	fb13 	 | 	0
4580 	 | 	fb8 	 | 	0
4606 	 | 	fb21 	 | 	1
4772 	 | 	fb23 	 | 	1
4906 	 | 	fb4 	 | 	0
5108 	 | 	fb17 	 | 	0
5421 	 | 	fb7 	 | 	0
5677 	 | 	fb1 	 | 	1
5801 	 | 	fb20 	 | 	0
6291 	 | 	fb6 	 | 	1
6472 	 | 	fb22 	 | 	1
6545 	 | 	fb15 	 | 	0
6685 	 | 	fb10 	 | 	1
7251 	 | 	fb8 	 | 	1
7297 	 | 	fb12 	 | 	1
7531 	 | 	fb23 	 | 	0
7806 	 | 	fb3 	 | 	0
8010 	 | 	fb19 	 | 	0
8470 	 | 	fb2 	 | 	0
8650 	 | 	fb11 	 | 	1
9044 	 | 	fb8 	 | 	0
9393 	 | 	fb3 	 | 	1
9473 	 | 	fb22 	 | 	0
9961 	 | 	fb21 	 | 	0
10052 	 | 	fb6 	 | 	0
10207 	 | 	fb11 	 | 	0
10718 	 | 	fb7 	 | 	1
11264 	 | 	fb1 	 | 	0
11911 	 | 	fb5 	 | 	0
12431 	 | 	fb23 	 | 	1
12524 	 | 	fb16 	 | 	0
12758 	 | 	fb19 	 | 	1
12829 	 | 	fb6 	 | 	1
12836 	 | 	fb24 	 | 	1
13109 	 | 	fb8 	 | 	1
13417 	 | 	fb12 	 | 	0
13657 	 | 	fb11 	 | 	1
14077 	 | 	fb23 	 | 	0
14578 	 | 	fb17 	 | 	1
14987 	 | 	fb7 	 | 	0
15524 	 | 	fb10 	 | 	0
15536 	 | 	fb21 	 | 	1
15767 	 | 	fb9 	 | 	0
15895 	 | 	fb14 	 | 	0
16683 	 | 	fb2 	 | 	1
16984 	 | 	fb5 	 | 	1
17190 	 | 	fb17 	 | 	0
17675 	 | 	fb3 	 | 	0
18091 	 | 	fb4 	 | 	1
18240 	 | 	fb24 	 | 	0
18260 	 | 	fb23 	 | 	1
18290 	 | 	fb14 	 | 	1
18455 	 | 	fb16 	 | 	1
18602 	 | 	fb5 	 | 	0
18795 	 | 	fb17 	 | 	1
18886 	 | 	fb18 	 | 	1
18918 	 | 	fb13 	 | 	1
19449 	 | 	fb11 	 | 	0
19492 	 | 	fb3 	 | 	1
19934 	 | 	fb14 	 | 	0
19982 	 | 	fb16 	 | 	0
