---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
2575 	 | 	fb13 	 | 	0
2678 	 | 	fb8 	 | 	0
2739 	 | 	fb20 	 | 	0
2892 	 | 	fb4 	 | 	0
3337 	 | 	fb5 	 | 	0
3541 	 | 	fb22 	 | 	0
3661 	 | 	fb14 	 | 	0
4527 	 | 	fb21 	 | 	0
5205 	 | 	fb5 	 | 	1
5873 	 | 	fb19 	 | 	0
6098 	 | 	fb6 	 | 	0
6190 	 | 	fb24 	 | 	0
6248 	 | 	fb4 	 | 	1
6337 	 | 	fb13 	 | 	1
7928 	 | 	fb4 	 | 	0
8075 	 | 	fb21 	 | 	1
8751 	 | 	fb2 	 | 	0
8806 	 | 	fb11 	 | 	0
8843 	 | 	fb7 	 | 	0
9106 	 | 	fb3 	 | 	0
9111 	 | 	fb19 	 | 	1
10645 	 | 	fb9 	 | 	0
11339 	 | 	fb14 	 | 	1
12094 	 | 	fb15 	 | 	0
12535 	 | 	fb21 	 | 	0
12604 	 | 	fb11 	 | 	1
12625 	 | 	fb20 	 | 	1
13535 	 | 	fb12 	 | 	0
13694 	 | 	fb19 	 | 	0
14081 	 | 	fb17 	 | 	0
14098 	 | 	fb18 	 | 	0
15014 	 | 	fb4 	 | 	1
15146 	 | 	fb6 	 | 	1
15631 	 | 	fb23 	 | 	0
16262 	 | 	fb2 	 | 	1
17295 	 | 	fb17 	 | 	1
17639 	 | 	fb7 	 | 	1
17945 	 | 	fb18 	 | 	1
18092 	 | 	fb1 	 | 	0
18707 	 | 	fb10 	 | 	0
18974 	 | 	fb22 	 | 	1
19238 	 | 	fb7 	 | 	0
19525 	 | 	fb18 	 | 	0
19572 	 | 	fb1 	 | 	1
