---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
1587 	 | 	fb11 	 | 	0
1647 	 | 	fb16 	 | 	0
1764 	 | 	fb20 	 | 	0
2586 	 | 	fb14 	 | 	0
2650 	 | 	fb12 	 | 	0
2805 	 | 	fb5 	 | 	0
3380 	 | 	fb20 	 | 	1
3584 	 | 	fb4 	 | 	0
3627 	 | 	fb17 	 | 	0
3894 	 | 	fb23 	 | 	0
4197 	 | 	fb10 	 | 	0
4326 	 | 	fb24 	 | 	0
4440 	 | 	fb12 	 | 	1
4484 	 | 	fb7 	 | 	0
4568 	 | 	fb11 	 | 	1
4671 	 | 	fb5 	 | 	1
4941 	 | 	fb1 	 | 	0
4971 	 | 	fb14 	 | 	1
5253 	 | 	fb20 	 | 	0
5445 	 | 	fb15 	 | 	0
5671 	 | 	fb16 	 | 	1
6081 	 | 	fb9 	 | 	0
6109 	 | 	fb4 	 | 	1
7410 	 | 	fb8 	 | 	0
7767 	 | 	fb4 	 | 	0
7817 	 | 	fb12 	 | 	0
7822 	 | 	fb7 	 | 	1
8182 	 | 	fb24 	 | 	1
8670 	 | 	fb20 	 | 	1
9182 	 | 	fb14 	 | 	0
9193 	 | 	fb16 	 | 	0
9854 	 | 	fb19 	 | 	0
10195 	 | 	fb10 	 | 	1
10721 	 | 	fb3 	 | 	0
10964 	 | 	fb7 	 | 	0
11176 	 | 	fb22 	 | 	0
11193 	 | 	fb9 	 | 	1
11624 	 | 	fb8 	 | 	1
11692 	 | 	fb13 	 | 	0
12203 	 | 	fb6 	 | 	0
13124 	 | 	fb10 	 | 	0
13512 	 | 	fb20 	 | 	0
13517 	 | 	fb15 	 | 	1
13803 	 | 	fb4 	 | 	1
13892 	 | 	fb6 	 | 	1
13928 	 | 	fb2 	 | 	0
14853 	 | 	fb15 	 | 	0
14854 	 | 	fb24 	 | 	0
15004 	 | 	fb3 	 | 	1
15273 	 | 	fb23 	 | 	1
15401 	 | 	fb4 	 | 	0
15887 	 | 	fb12 	 | 	1
16489 	 | 	fb16 	 | 	1
16534 	 | 	fb15 	 | 	1
16697 	 | 	fb7 	 | 	1
17318 	 | 	fb22 	 | 	1
18234 	 | 	fb11 	 | 	0
18644 	 | 	fb23 	 | 	0
18703 	 | 	fb3 	 | 	0
18722 	 | 	fb13 	 | 	1
18917 	 | 	fb12 	 | 	0
18934 	 | 	fb18 	 | 	0
19051 	 | 	fb20 	 | 	1
19096 	 | 	fb17 	 | 	1
19832 	 | 	fb1 	 | 	1
