---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
1497 	 | 	fb14 	 | 	0
1653 	 | 	fb2 	 | 	0
1710 	 | 	fb11 	 | 	0
1804 	 | 	fb10 	 | 	0
1986 	 | 	fb5 	 | 	0
2153 	 | 	fb22 	 | 	0
2906 	 | 	fb3 	 | 	0
3739 	 | 	fb17 	 | 	0
4056 	 | 	fb18 	 | 	0
4164 	 | 	fb10 	 | 	1
4343 	 | 	fb19 	 | 	0
4344 	 | 	fb5 	 | 	1
4523 	 | 	fb16 	 | 	0
4641 	 | 	fb9 	 | 	0
4915 	 | 	fb8 	 | 	0
5106 	 | 	fb12 	 | 	0
5225 	 | 	fb22 	 | 	1
5854 	 | 	fb13 	 | 	0
5856 	 | 	fb21 	 | 	0
5875 	 | 	fb23 	 | 	0
5932 	 | 	fb2 	 | 	1
6033 	 | 	fb5 	 | 	0
6234 	 | 	fb4 	 | 	0
6362 	 | 	fb1 	 | 	0
6504 	 | 	fb3 	 | 	1
6535 	 | 	fb24 	 | 	0
6596 	 | 	fb19 	 | 	1
6658 	 | 	fb8 	 | 	1
6821 	 | 	fb22 	 | 	0
7115 	 | 	fb6 	 | 	0
7284 	 | 	fb12 	 | 	1
7289 	 | 	fb10 	 | 	0
7579 	 | 	fb13 	 | 	1
7593 	 | 	fb20 	 | 	0
7824 	 | 	fb5 	 | 	1
7980 	 | 	fb7 	 | 	0
8235 	 | 	fb8 	 | 	0
8265 	 | 	fb15 	 | 	0
8857 	 | 	fb12 	 | 	0
8945 	 | 	fb2 	 | 	0
9343 	 | 	fb13 	 | 	0
9437 	 | 	fb18 	 | 	1
9583 	 | 	fb19 	 | 	0
9731 	 | 	fb9 	 | 	1
9839 	 | 	fb5 	 | 	0
9922 	 | 	fb23 	 | 	1
9994 	 | 	fb14 	 | 	1
10057 	 | 	fb20 	 | 	1
10125 	 | 	fb15 	 | 	1
11428 	 | 	fb1 	 | 	1
11485 	 | 	fb16 	 | 	1
11598 	 | 	fb17 	 | 	1
11814 	 | 	fb7 	 | 	1
12027 	 | 	fb15 	 | 	0
12074 	 | 	fb20 	 | 	0
12330 	 | 	fb14 	 | 	0
12404 	 | 	fb2 	 | 	1
12411 	 | 	fb18 	 | 	0
12604 	 | 	fb10 	 | 	1
12691 	 | 	fb11 	 | 	1
12816 	 | 	fb22 	 | 	1
13135 	 | 	fb21 	 | 	1
13317 	 | 	fb8 	 | 	1
13319 	 | 	fb5 	 | 	1
13360 	 | 	fb24 	 | 	1
14056 	 | 	fb3 	 | 	0
14071 	 | 	fb6 	 | 	1
14186 	 | 	fb2 	 | 	0
14285 	 | 	fb14 	 | 	1
14372 	 | 	fb9 	 | 	0
14483 	 | 	fb22 	 | 	0
14678 	 | 	fb19 	 | 	1
14830 	 | 	fb4 	 | 	1
14974 	 | 	fb15 	 | 	1
15332 	 | 	fb1 	 | 	0
15441 	 | 	fb8 	 | 	0
15630 	 | 	fb6 	 | 	0
15702 	 | 	fb12 	 | 	1
15810 	 | 	fb23 	 | 	0
16055 	 | 	fb17 	 | 	0
16131 	 | 	fb13 	 | 	1
16633 	 | 	fb24 	 | 	0
16650 	 | 	fb2 	 | 	1
17088 	 | 	fb11 	 | 	0
17108 	 | 	fb16 	 | 	0
17140 	 | 	fb14 	 | 	0
17269 	 | 	fb5 	 | 	0
17488 	 | 	fb10 	 | 	0
18107 	 | 	fb4 	 | 	0
18177 	 | 	fb19 	 | 	0
18389 	 | 	fb13 	 | 	0
18454 	 | 	fb9 	 | 	1
18951 	 | 	fb17 	 | 	1
19049 	 | 	fb20 	 | 	1
19237 	 | 	fb21 	 | 	0
19335 	 | 	fb3 	 | 	1
19656 	 | 	fb16 	 | 	1
19747 	 | 	fb5 	 | 	1
19927 	 | 	fb11 	 | 	1
