---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
1459 	 | 	fb3 	 | 	0
1479 	 | 	fb9 	 | 	0
1497 	 | 	fb16 	 | 	0
1772 	 | 	fb8 	 | 	0
2342 	 | 	fb11 	 | 	0
2414 	 | 	fb17 	 | 	0
2744 	 | 	fb23 	 | 	0
3166 	 | 	fb4 	 | 	0
3647 	 | 	fb5 	 | 	0
4280 	 | 	fb6 	 | 	0
4536 	 | 	fb22 	 | 	0
4730 	 | 	fb19 	 | 	0
4783 	 | 	fb3 	 | 	1
4971 	 | 	fb8 	 | 	1
5301 	 | 	fb24 	 | 	0
5336 	 | 	fb23 	 | 	1
5616 	 | 	fb10 	 | 	0
5627 	 | 	fb18 	 | 	0
5650 	 | 	fb1 	 | 	0
5752 	 | 	fb7 	 | 	0
5989 	 | 	fb6 	 | 	1
6228 	 | 	fb22 	 | 	1
6253 	 | 	fb5 	 | 	1
6357 	 | 	fb11 	 | 	1
6678 	 | 	fb20 	 | 	0
7292 	 | 	fb6 	 | 	0
7336 	 | 	fb21 	 | 	0
7908 	 | 	fb23 	 | 	0
8138 	 | 	fb14 	 | 	0
8192 	 | 	fb3 	 | 	0
9009 	 | 	fb21 	 | 	1
9662 	 | 	fb20 	 | 	1
9731 	 | 	fb1 	 | 	1
9790 	 | 	fb2 	 | 	0
10225 	 | 	fb17 	 | 	1
10382 	 | 	fb23 	 | 	1
11112 	 | 	fb14 	 | 	1
11443 	 | 	fb1 	 | 	0
11968 	 | 	fb19 	 | 	1
12168 	 | 	fb20 	 | 	0
12257 	 | 	fb5 	 | 	0
12372 	 | 	fb10 	 | 	1
13169 	 | 	fb18 	 | 	1
13428 	 | 	fb4 	 | 	1
13859 	 | 	fb20 	 | 	1
13907 	 | 	fb9 	 | 	1
14449 	 | 	fb2 	 | 	1
14721 	 | 	fb10 	 | 	0
15018 	 | 	fb19 	 | 	0
15166 	 | 	fb4 	 | 	0
15416 	 | 	fb3 	 | 	1
15736 	 | 	fb9 	 | 	0
15946 	 | 	fb8 	 | 	0
15967 	 | 	fb11 	 | 	0
16232 	 | 	fb14 	 | 	0
16302 	 | 	fb24 	 | 	1
16990 	 | 	fb6 	 | 	1
17083 	 | 	fb4 	 | 	1
17399 	 | 	fb21 	 | 	0
17484 	 | 	fb5 	 | 	1
17754 	 | 	fb10 	 | 	1
18479 	 | 	fb23 	 | 	0
18868 	 | 	fb1 	 | 	1
18938 	 | 	fb4 	 | 	0
19313 	 | 	fb13 	 | 	0
19411 	 | 	fb5 	 | 	0
19450 	 | 	fb22 	 | 	0
19515 	 | 	fb8 	 | 	1
19861 	 | 	fb10 	 | 	0
19938 	 | 	fb9 	 | 	1
