---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
1737 	 | 	fb2 	 | 	0
2628 	 | 	fb11 	 | 	0
2809 	 | 	fb23 	 | 	0
3010 	 | 	fb21 	 | 	0
3359 	 | 	fb6 	 | 	0
3682 	 | 	fb10 	 | 	0
3967 	 | 	fb16 	 | 	0
4040 	 | 	fb13 	 | 	0
4255 	 | 	fb22 	 | 	0
4322 	 | 	fb2 	 | 	1
4529 	 | 	fb12 	 | 	0
4867 	 | 	fb3 	 | 	0
5235 	 | 	fb14 	 | 	0
5451 	 | 	fb21 	 | 	1
5694 	 | 	fb20 	 | 	0
5745 	 | 	fb7 	 | 	0
6262 	 | 	fb10 	 | 	1
6437 	 | 	fb23 	 | 	1
6603 	 | 	fb4 	 | 	0
6726 	 | 	fb17 	 | 	0
6830 	 | 	fb15 	 | 	0
6869 	 | 	fb2 	 | 	0
7229 	 | 	fb19 	 | 	0
7369 	 | 	fb1 	 | 	0
7607 	 | 	fb8 	 | 	0
8077 	 | 	fb13 	 | 	1
8335 	 | 	fb7 	 | 	1
8621 	 | 	fb15 	 | 	1
9148 	 | 	fb3 	 | 	1
9272 	 | 	fb20 	 | 	1
9426 	 | 	fb4 	 | 	1
9569 	 | 	fb12 	 | 	1
9572 	 | 	fb8 	 | 	1
9946 	 | 	fb22 	 | 	1
10161 	 | 	fb17 	 | 	1
10420 	 | 	fb14 	 | 	1
10815 	 | 	fb11 	 | 	1
11906 	 | 	fb21 	 | 	0
12124 	 | 	fb24 	 | 	0
12257 	 | 	fb23 	 | 	0
13329 	 | 	fb4 	 | 	0
13852 	 | 	fb2 	 | 	1
14461 	 | 	fb11 	 | 	0
14495 	 | 	fb5 	 | 	0
15542 	 | 	fb19 	 | 	1
15801 	 | 	fb6 	 | 	1
15926 	 | 	fb1 	 | 	1
17017 	 | 	fb5 	 | 	1
17543 	 | 	fb23 	 | 	1
17836 	 | 	fb4 	 | 	1
17960 	 | 	fb21 	 | 	1
18106 	 | 	fb11 	 | 	1
18115 	 | 	fb14 	 | 	0
18703 	 | 	fb19 	 | 	0
18771 	 | 	fb6 	 | 	0
19381 	 | 	fb10 	 | 	0
19828 	 | 	fb18 	 | 	0
19960 	 | 	fb1 	 | 	0
19981 	 | 	fb24 	 | 	1
