---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
1559 	 | 	fb22 	 | 	0
1586 	 | 	fb10 	 | 	0
1597 	 | 	fb24 	 | 	0
1726 	 | 	fb23 	 | 	0
2356 	 | 	fb3 	 | 	0
2461 	 | 	fb16 	 | 	0
2643 	 | 	fb17 	 | 	0
2673 	 | 	fb20 	 | 	0
2869 	 | 	fb5 	 | 	0
3238 	 | 	fb15 	 | 	0
3471 	 | 	fb14 	 | 	0
3529 	 | 	fb8 	 | 	0
3681 	 | 	fb13 	 | 	0
3765 	 | 	fb2 	 | 	0
4216 	 | 	fb20 	 | 	1
4299 	 | 	fb3 	 | 	1
4362 	 | 	fb23 	 | 	1
4616 	 | 	fb24 	 | 	1
4748 	 | 	fb21 	 | 	0
5443 	 | 	fb14 	 | 	1
5725 	 | 	fb5 	 | 	1
5790 	 | 	fb1 	 | 	0
5907 	 | 	fb7 	 | 	0
6230 	 | 	fb12 	 | 	0
6355 	 | 	fb19 	 | 	0
6395 	 | 	fb11 	 | 	0
7118 	 | 	fb9 	 | 	0
7917 	 | 	fb6 	 | 	0
7935 	 | 	fb3 	 | 	0
9038 	 | 	fb15 	 | 	1
9638 	 | 	fb14 	 | 	0
9879 	 | 	fb3 	 | 	1
9915 	 | 	fb17 	 | 	1
9971 	 | 	fb9 	 | 	1
10032 	 | 	fb2 	 | 	1
10084 	 | 	fb10 	 | 	1
10120 	 | 	fb13 	 | 	1
10171 	 | 	fb1 	 | 	1
10265 	 | 	fb12 	 | 	1
10902 	 | 	fb22 	 | 	1
10939 	 | 	fb16 	 | 	1
11227 	 | 	fb4 	 | 	0
11260 	 | 	fb6 	 | 	1
11293 	 | 	fb11 	 | 	1
11425 	 | 	fb7 	 | 	1
11484 	 | 	fb8 	 | 	1
11667 	 | 	fb21 	 | 	1
11753 	 | 	fb15 	 | 	0
11863 	 | 	fb19 	 | 	1
13140 	 | 	fb4 	 | 	1
13144 	 | 	fb14 	 | 	1
13364 	 | 	fb5 	 | 	0
13807 	 | 	fb21 	 | 	0
14089 	 | 	fb13 	 | 	0
14449 	 | 	fb10 	 | 	0
14647 	 | 	fb20 	 | 	0
15290 	 | 	fb16 	 | 	0
15398 	 | 	fb19 	 | 	0
15439 	 | 	fb14 	 | 	0
15649 	 | 	fb24 	 | 	0
15835 	 | 	fb5 	 | 	1
15953 	 | 	fb18 	 | 	0
15977 	 | 	fb4 	 | 	0
16048 	 | 	fb23 	 | 	0
16633 	 | 	fb22 	 | 	0
17132 	 | 	fb7 	 | 	0
17166 	 | 	fb17 	 | 	0
17242 	 | 	fb6 	 | 	0
17302 	 | 	fb3 	 | 	0
17330 	 | 	fb8 	 | 	0
17414 	 | 	fb5 	 | 	0
17565 	 | 	fb14 	 | 	1
17704 	 | 	fb12 	 | 	0
17988 	 | 	fb16 	 | 	1
18348 	 | 	fb20 	 | 	1
18400 	 | 	fb19 	 | 	1
18467 	 | 	fb9 	 | 	0
18563 	 | 	fb22 	 | 	1
18563 	 | 	fb1 	 | 	0
18599 	 | 	fb4 	 | 	1
18668 	 | 	fb21 	 | 	1
19161 	 | 	fb2 	 | 	0
19701 	 | 	fb16 	 | 	0
