---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
2532 	 | 	fb20 	 | 	0
2628 	 | 	fb13 	 | 	0
3229 	 | 	fb14 	 | 	0
4334 	 | 	fb21 	 | 	0
5515 	 | 	fb6 	 | 	0
6099 	 | 	fb18 	 | 	0
6702 	 | 	fb22 	 | 	0
6960 	 | 	fb16 	 | 	0
7172 	 | 	fb20 	 | 	1
7202 	 | 	fb4 	 | 	0
7383 	 | 	fb8 	 | 	0
7977 	 | 	fb9 	 | 	0
9151 	 | 	fb24 	 | 	0
11689 	 | 	fb4 	 | 	1
12419 	 | 	fb11 	 | 	0
12473 	 | 	fb9 	 | 	1
12903 	 | 	fb3 	 | 	0
13425 	 | 	fb17 	 | 	0
13463 	 | 	fb15 	 | 	0
13679 	 | 	fb7 	 | 	0
14267 	 | 	fb19 	 | 	0
14347 	 | 	fb1 	 | 	0
15383 	 | 	fb21 	 | 	1
15666 	 | 	fb13 	 | 	1
15691 	 | 	fb20 	 | 	0
15737 	 | 	fb23 	 | 	0
16507 	 | 	fb16 	 | 	1
16534 	 | 	fb4 	 | 	0
17387 	 | 	fb8 	 | 	1
17890 	 | 	fb22 	 | 	1
18097 	 | 	fb18 	 | 	1
18101 	 | 	fb17 	 | 	1
18188 	 | 	fb4 	 | 	1
19336 	 | 	fb14 	 | 	1
19362 	 | 	fb21 	 | 	0
19857 	 | 	fb3 	 | 	1
