---- 	   	Begin Recorded Data	   	 ---- 
time 	 | 	robot 	| 	 goal 
1 = target	 0 = base 
 
0 	 | 	fb1 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb9 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb16 	 | 	1
0 	 | 	fb17 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb18 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb19 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb20 	 | 	1
0 	 | 	fb21 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb22 	 | 	1
0 	 | 	fb23 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
0 	 | 	fb24 	 | 	1
2074 	 | 	fb3 	 | 	0
2978 	 | 	fb16 	 | 	0
3454 	 | 	fb2 	 | 	0
3482 	 | 	fb14 	 | 	0
3520 	 | 	fb19 	 | 	0
3605 	 | 	fb23 	 | 	0
3653 	 | 	fb18 	 | 	0
4112 	 | 	fb24 	 | 	0
5134 	 | 	fb6 	 | 	0
6741 	 | 	fb14 	 | 	1
6996 	 | 	fb8 	 | 	0
7696 	 | 	fb11 	 | 	0
7894 	 | 	fb10 	 | 	0
8620 	 | 	fb14 	 | 	0
9539 	 | 	fb21 	 | 	0
10113 	 | 	fb22 	 | 	0
10286 	 | 	fb14 	 | 	1
13086 	 | 	fb17 	 | 	0
13477 	 | 	fb4 	 | 	0
14376 	 | 	fb7 	 | 	0
14640 	 | 	fb16 	 | 	1
14693 	 | 	fb9 	 | 	0
15160 	 | 	fb21 	 | 	1
15276 	 | 	fb10 	 | 	1
16159 	 | 	fb13 	 | 	0
16717 	 | 	fb24 	 | 	1
17238 	 | 	fb6 	 | 	1
17383 	 | 	fb16 	 | 	0
17475 	 | 	fb1 	 | 	0
17916 	 | 	fb18 	 | 	1
18781 	 | 	fb23 	 | 	1
19014 	 | 	fb5 	 | 	0
19475 	 | 	fb10 	 | 	0
19847 	 | 	fb24 	 | 	0
