---- 	   	Begin Recorded Data	   	 ---- 
 time 	 | 	robot 	| 	 behaviour 
1 = foraging	 0 = returning 
 
0 	 | 	fb0 	 | 	1
0 	 | 	fb1 	 | 	1
0 	 | 	fb10 	 | 	1
0 	 | 	fb11 	 | 	1
0 	 | 	fb12 	 | 	1
0 	 | 	fb13 	 | 	1
0 	 | 	fb14 	 | 	1
0 	 | 	fb15 	 | 	1
0 	 | 	fb2 	 | 	1
0 	 | 	fb3 	 | 	1
0 	 | 	fb4 	 | 	1
0 	 | 	fb5 	 | 	1
0 	 | 	fb6 	 | 	1
0 	 | 	fb7 	 | 	1
0 	 | 	fb8 	 | 	1
0 	 | 	fb9 	 | 	1
737 	 | 	fb2 	 | 	0
811 	 | 	fb8 	 | 	0
878 	 | 	fb11 	 | 	0
961 	 | 	fb13 	 | 	0
1793 	 | 	fb14 	 | 	0
2206 	 | 	fb6 	 | 	0
2305 	 | 	fb7 	 | 	0
2627 	 | 	fb11 	 | 	1
2724 	 | 	fb3 	 | 	0
2938 	 | 	fb10 	 | 	0
3418 	 | 	fb13 	 | 	1
3598 	 | 	fb8 	 | 	1
4375 	 | 	fb1 	 | 	0
4433 	 | 	fb15 	 | 	0
5002 	 | 	fb14 	 | 	1
5572 	 | 	fb4 	 | 	0
5826 	 | 	fb0 	 | 	0
6599 	 | 	fb4 	 | 	1
7363 	 | 	fb9 	 | 	0
7662 	 | 	fb11 	 | 	0
7724 	 | 	fb6 	 | 	1
7846 	 | 	fb4 	 | 	0
8947 	 | 	fb4 	 | 	1
9457 	 | 	fb10 	 | 	1
9637 	 | 	fb5 	 | 	0
9728 	 | 	fb8 	 | 	0
10460 	 | 	fb4 	 | 	0
10490 	 | 	fb11 	 | 	1
10491 	 | 	fb12 	 | 	0
10785 	 | 	fb1 	 | 	1
10924 	 | 	fb6 	 | 	0
11375 	 | 	fb15 	 | 	1
11969 	 | 	fb3 	 | 	1
12835 	 | 	fb4 	 | 	1
12857 	 | 	fb6 	 | 	1
12883 	 | 	fb8 	 | 	1
13551 	 | 	fb7 	 | 	1
13747 	 | 	fb14 	 | 	0
14046 	 | 	fb11 	 | 	0
14239 	 | 	fb15 	 | 	0
14421 	 | 	fb14 	 | 	1
14543 	 | 	fb13 	 | 	0
14690 	 | 	fb5 	 | 	1
15757 	 | 	fb2 	 | 	1
15841 	 | 	fb10 	 | 	0
15867 	 | 	fb14 	 | 	0
16778 	 | 	fb15 	 | 	1
17082 	 | 	fb0 	 | 	1
17498 	 | 	fb12 	 | 	1
17797 	 | 	fb1 	 | 	0
17806 	 | 	fb11 	 | 	1
17935 	 | 	fb5 	 | 	0
18253 	 | 	fb8 	 | 	0
18782 	 | 	fb15 	 | 	0
18941 	 | 	fb7 	 | 	0
19006 	 | 	fb12 	 | 	0
19697 	 | 	fb13 	 | 	1
19902 	 | 	fb6 	 | 	0
19914 	 | 	fb5 	 | 	1
20437 	 | 	fb10 	 | 	1
20591 	 | 	fb13 	 | 	0
20615 	 | 	fb9 	 | 	1
20640 	 | 	fb0 	 | 	0
20974 	 | 	fb7 	 | 	1
21461 	 | 	fb3 	 | 	0
21503 	 | 	fb12 	 | 	1
21548 	 | 	fb14 	 | 	1
21705 	 | 	fb6 	 | 	1
21872 	 | 	fb5 	 | 	0
22174 	 | 	fb15 	 | 	1
22238 	 | 	fb8 	 | 	1
22616 	 | 	fb14 	 | 	0
22972 	 | 	fb4 	 | 	0
23071 	 | 	fb3 	 | 	1
23681 	 | 	fb10 	 | 	0
24060 	 | 	fb2 	 | 	0
24469 	 | 	fb14 	 | 	1
24741 	 | 	fb0 	 | 	1
24750 	 | 	fb5 	 | 	1
25088 	 | 	fb8 	 | 	0
25119 	 | 	fb10 	 | 	1
25360 	 | 	fb14 	 | 	0
25585 	 | 	fb15 	 | 	0
26359 	 | 	fb1 	 | 	1
26710 	 | 	fb5 	 | 	0
28061 	 | 	fb14 	 | 	1
28899 	 | 	fb9 	 | 	0
29326 	 | 	fb5 	 | 	1
29753 	 | 	fb3 	 | 	0
30459 	 | 	fb14 	 | 	0
30946 	 | 	fb0 	 | 	0
31523 	 | 	fb15 	 | 	1
32128 	 | 	fb6 	 | 	0
32694 	 | 	fb12 	 | 	0
32898 	 | 	fb9 	 | 	1
34025 	 | 	fb2 	 | 	1
34852 	 | 	fb5 	 | 	0
35437 	 | 	fb9 	 | 	0
35564 	 | 	fb6 	 | 	1
35808 	 | 	fb13 	 | 	1
35836 	 | 	fb11 	 | 	0
36100 	 | 	fb15 	 | 	0
36191 	 | 	fb5 	 | 	1
36606 	 | 	fb1 	 | 	0
36837 	 | 	fb12 	 | 	1
37180 	 | 	fb14 	 | 	1
37313 	 | 	fb8 	 | 	1
37569 	 | 	fb9 	 | 	1
37958 	 | 	fb2 	 | 	0
38446 	 | 	fb13 	 | 	0
38537 	 | 	fb10 	 | 	0
39144 	 | 	fb7 	 | 	0
39677 	 | 	fb10 	 | 	1
40541 	 | 	fb15 	 | 	1
41214 	 | 	fb8 	 | 	0
41343 	 | 	fb0 	 | 	1
41733 	 | 	fb9 	 | 	0
43164 	 | 	fb4 	 | 	1
43625 	 | 	fb12 	 | 	0
43886 	 | 	fb3 	 | 	1
44067 	 | 	fb7 	 | 	1
44220 	 | 	fb8 	 | 	1
44357 	 | 	fb14 	 | 	0
44870 	 | 	fb1 	 | 	1
45943 	 | 	fb6 	 | 	0
45997 	 | 	fb15 	 | 	0
46428 	 | 	fb9 	 | 	1
46582 	 | 	fb12 	 | 	1
46854 	 | 	fb1 	 | 	0
47303 	 | 	fb14 	 | 	1
47539 	 | 	fb5 	 | 	0
47722 	 | 	fb11 	 | 	1
47780 	 | 	fb4 	 | 	0
48267 	 | 	fb15 	 | 	1
48608 	 | 	fb7 	 | 	0
48777 	 | 	fb14 	 | 	0
49920 	 | 	fb1 	 | 	1
50333 	 | 	fb0 	 | 	0
50998 	 | 	fb11 	 | 	0
51469 	 | 	fb1 	 | 	0
51958 	 | 	fb15 	 | 	0
52501 	 | 	fb11 	 | 	1
52583 	 | 	fb7 	 | 	1
52959 	 | 	fb8 	 | 	0
53071 	 | 	fb1 	 | 	1
53763 	 | 	fb4 	 | 	1
54720 	 | 	fb12 	 | 	0
54852 	 | 	fb1 	 | 	0
54927 	 | 	fb9 	 | 	0
55024 	 | 	fb5 	 | 	1
55788 	 | 	fb11 	 | 	0
56236 	 | 	fb9 	 | 	1
56756 	 | 	fb5 	 | 	0
57533 	 | 	fb0 	 | 	1
57596 	 | 	fb6 	 | 	1
57878 	 | 	fb3 	 | 	0
58063 	 | 	fb8 	 | 	1
58570 	 | 	fb5 	 | 	1
59130 	 | 	fb6 	 | 	0
59237 	 | 	fb7 	 | 	0
60834 	 | 	fb10 	 | 	0
60991 	 | 	fb11 	 | 	1
61376 	 | 	fb12 	 | 	1
62508 	 | 	fb4 	 | 	0
62534 	 | 	fb6 	 | 	1
62779 	 | 	fb0 	 | 	0
63177 	 | 	fb10 	 | 	1
63678 	 | 	fb12 	 | 	0
65004 	 | 	fb6 	 | 	0
65306 	 | 	fb13 	 | 	1
65458 	 | 	fb14 	 | 	1
66173 	 | 	fb2 	 | 	1
66269 	 | 	fb12 	 | 	1
66398 	 | 	fb4 	 | 	1
66463 	 | 	fb9 	 | 	0
66518 	 | 	fb13 	 | 	0
66828 	 | 	fb14 	 | 	0
67027 	 | 	fb0 	 | 	1
67451 	 | 	fb12 	 | 	0
67576 	 | 	fb7 	 | 	1
67891 	 | 	fb11 	 | 	0
67946 	 | 	fb5 	 | 	0
68312 	 | 	fb14 	 | 	1
68354 	 | 	fb3 	 | 	1
69541 	 | 	fb6 	 | 	1
69648 	 | 	fb14 	 | 	0
69715 	 | 	fb10 	 | 	0
69802 	 | 	fb13 	 | 	1
70289 	 | 	fb12 	 | 	1
72681 	 | 	fb2 	 | 	0
74513 	 | 	fb11 	 | 	1
74561 	 | 	fb1 	 | 	1
75011 	 | 	fb9 	 | 	1
75279 	 | 	fb4 	 | 	0
75447 	 | 	fb14 	 | 	1
76074 	 | 	fb6 	 | 	0
77227 	 | 	fb11 	 | 	0
77253 	 | 	fb0 	 | 	0
77441 	 | 	fb3 	 | 	0
78096 	 | 	fb4 	 | 	1
78124 	 | 	fb10 	 | 	1
78204 	 | 	fb13 	 | 	0
78706 	 | 	fb9 	 | 	0
79042 	 | 	fb1 	 | 	0
79662 	 | 	fb15 	 | 	1
80225 	 | 	fb7 	 | 	0
80339 	 | 	fb9 	 | 	1
80510 	 | 	fb8 	 | 	0
80925 	 | 	fb5 	 | 	1
81178 	 | 	fb3 	 | 	1
81281 	 | 	fb2 	 | 	1
81555 	 | 	fb4 	 | 	0
81581 	 | 	fb1 	 | 	1
81900 	 | 	fb14 	 | 	0
81977 	 | 	fb8 	 | 	1
82453 	 | 	fb15 	 | 	0
82988 	 | 	fb2 	 | 	0
83456 	 | 	fb13 	 | 	1
83612 	 | 	fb7 	 | 	1
84037 	 | 	fb0 	 | 	1
84464 	 | 	fb12 	 | 	0
84842 	 | 	fb1 	 | 	0
84941 	 | 	fb9 	 | 	0
85190 	 | 	fb4 	 | 	1
85452 	 | 	fb13 	 | 	0
86135 	 | 	fb8 	 | 	0
86226 	 | 	fb15 	 | 	1
86371 	 | 	fb12 	 | 	1
86962 	 | 	fb13 	 | 	1
87325 	 | 	fb15 	 | 	0
88532 	 | 	fb14 	 | 	1
88864 	 | 	fb4 	 | 	0
88890 	 | 	fb15 	 | 	1
89166 	 | 	fb11 	 | 	1
89368 	 | 	fb12 	 | 	0
89633 	 | 	fb15 	 | 	0
90919 	 | 	fb13 	 | 	0
91401 	 | 	fb0 	 | 	0
91613 	 | 	fb10 	 | 	0
91800 	 | 	fb9 	 | 	1
92044 	 | 	fb12 	 | 	1
92634 	 | 	fb13 	 | 	1
92683 	 | 	fb2 	 | 	1
92957 	 | 	fb14 	 | 	0
93080 	 | 	fb6 	 | 	1
93411 	 | 	fb7 	 | 	0
94567 	 | 	fb8 	 | 	1
95273 	 | 	fb2 	 | 	0
95713 	 | 	fb5 	 | 	0
96893 	 | 	fb4 	 | 	1
97054 	 | 	fb15 	 | 	1
97266 	 | 	fb14 	 | 	1
97706 	 | 	fb3 	 | 	0
97792 	 | 	fb9 	 | 	0
97853 	 | 	fb15 	 | 	0
97949 	 | 	fb0 	 | 	1
98211 	 | 	fb14 	 | 	0
98421 	 | 	fb11 	 | 	0
98540 	 | 	fb6 	 | 	0
99761 	 | 	fb0 	 | 	0
100108 	 | 	fb14 	 | 	1
100606 	 | 	fb3 	 | 	1
100655 	 | 	fb10 	 | 	1
100834 	 | 	fb1 	 | 	1
101041 	 | 	fb0 	 | 	1
103054 	 | 	fb12 	 | 	0
103061 	 | 	fb8 	 | 	0
103355 	 | 	fb1 	 | 	0
103966 	 | 	fb5 	 | 	1
103967 	 | 	fb11 	 | 	1
105210 	 | 	fb6 	 | 	1
105723 	 | 	fb2 	 | 	1
106043 	 | 	fb12 	 | 	1
106220 	 | 	fb3 	 | 	0
106924 	 | 	fb7 	 | 	1
107185 	 | 	fb12 	 | 	0
107866 	 | 	fb3 	 | 	1
108582 	 | 	fb15 	 | 	1
108724 	 | 	fb13 	 | 	0
108749 	 | 	fb5 	 | 	0
109496 	 | 	fb0 	 | 	0
109593 	 | 	fb11 	 | 	0
109836 	 | 	fb12 	 | 	1
110118 	 | 	fb6 	 | 	0
110463 	 | 	fb13 	 | 	1
110736 	 | 	fb7 	 | 	0
111590 	 | 	fb14 	 | 	0
112027 	 | 	fb0 	 | 	1
112450 	 | 	fb2 	 | 	0
112825 	 | 	fb3 	 | 	0
112859 	 | 	fb4 	 | 	0
113052 	 | 	fb9 	 | 	1
113072 	 | 	fb8 	 | 	1
113077 	 | 	fb11 	 | 	1
113363 	 | 	fb7 	 | 	1
114169 	 | 	fb11 	 | 	0
114295 	 | 	fb1 	 | 	1
115526 	 | 	fb6 	 | 	1
115686 	 | 	fb1 	 | 	0
116731 	 | 	fb10 	 | 	0
116910 	 | 	fb4 	 | 	1
116968 	 | 	fb13 	 | 	0
117389 	 | 	fb6 	 | 	0
117647 	 | 	fb2 	 | 	1
118099 	 | 	fb11 	 | 	1
